Chemicals;SMILES;Temperature (kelvin);Dynamic Viscosity (cp);Classification (based on dynamic viscosity);viscosity_2bins_5050;viscosity_7228
n-heptylbenzene;CCCCCCCc1ccccc1;298.15;0.613;Low;0;0
n-nonylbenzene;CCCCCCCCCc1ccccc1;298.15;2.8;High;1;0
diethyl phthalate;CCOC(=O)c1ccccc1C(=O)OCC;298.15;10.21;High;1;1
ethyl benzoate;CCOC(=O)c1ccccc1;298.15;2.005;High;1;0
ethyl phenyl acetate;CCOC(=O)Cc1ccccc1;298.15;2.385;High;1;0
nonylphenol;CCCCCCCCCc1ccccc1O;298.15;1286;High;1;1
butyl ethanoate;CCCCOC(C)=O;298.15;0.677;Low;0;0
butyl octadecanoate;CCCCCCCCCCCCCCCCCC(=O)OCCCC;298.15;7;High;1;1
diethyl malonate;CCOC(=O)CC(=O)OCC;298.15;1.903;High;1;0
gamma-butyrolactone;O=C1CCCO1;298.15;1.728;High;1;0
hexyl ethanoate;CCCCCCOC(C)=O;298.15;1.075;Low;0;0
methyl ethanoate;COC(C)=O;298.15;0.364;Low;0;0
pentyl ethanoate;CCCCCOC(C)=O;298.15;0.857;Low;0;0
propyl butanoate;CCCOC(=O)CCC;298.15;0.832;Low;0;0
propyl ethanoate;CCCOC(C)=O;298.15;0.551;Low;0;0
propyl propanoate;CCCOC(=O)CC;298.15;0.61;Low;0;0
1,3,5,7-cyclooctatetraene;C1=CC=CC=CC=C1;298.15;1.248;Low;0;0
cis-decahydronaphthalene;C1CC[C@@H]2CCCC[C@@H]2C1;298.15;2.901;High;1;0
cyclooctane;C1CCCCCCC1;298.15;2.212;High;1;0
ethylcyclopentane;CCC1CCCC1;298.15;0.535;Low;0;0
n-butylcyclohexane;CCCCC1CCCCC1;298.15;1.204;Low;0;0
cis-2-pentene;CC\C=C/C;298.15;0.201;Low;0;0
isoprene;CC(=C)C=C;298.15;0.206;Low;0;0
furfural;O=Cc1occc1;298.15;1.492;Low;0;0
furfuryl alcohol;OCc1occc1;298.15;4.62;High;1;1
methyl lactate;COC(=O)C(C)O;298.15;2.92;High;1;0
Ethylene Glycol;OCCO;298.15;14.78;High;1;1
2,6-Diethyl aniline;CCc1cccc(CC)c1N;298.15;3.65;High;1;1
2,6-Dimethyl aniline;Cc1cccc(C)c1N;298.15;3.26;High;1;1
2-Chloro-6-methyl aniline;Cc1cccc(Cl)c1N;298.15;2.263;High;1;0
2-Chloroaniline;Nc1ccccc1Cl;298.15;3.4;High;1;1
2-Ethylaniline;CCc1ccccc1N;298.15;3.85;High;1;1
2-Methyl-6-ethyl aniline;CCc1cccc(C)c1N;298.15;3.35;High;1;1
Aniline;Nc1ccccc1;298.15;3.995;High;1;1
Cyclopropane;C1CC1;298.15;0.141;Low;0;0
Nonane;CCCCCCCCC;298.93;0.648;Low;0;0
Benzene;c1ccccc1;298.76;0.598;Low;0;0
Cyclohexane;C1CCCCC1;298.77;0.882;Low;0;0
Deuterium oxide;O([2H])[2H];298.89;1.075;Low;0;0
Methanol;CO;298.56;0.541;Low;0;0
N,N-Dimethylethyleneurea;CN(C)C(=O)N1CC1;298.15;1.944;High;1;0
N-2-Methoxyethyl acetamide;COCCNC(C)=O;298.15;10.84;High;1;1
N-Ethyl formamide;CCNC=O;298.15;2.21;High;1;0
Toluene;Cc1ccccc1;298.93;0.547;Low;0;0
Hexane;CCCCCC;298.15;0.298;Low;0;0
3-Ethyl-2-oxazolidinone;CCN1CCOC1=O;298.15;2.81;High;1;0
Propionaldehyde;CCC=O;299.85;0.317;Low;0;0
Iodoethane;CCI;299.24;0.55;Low;0;0
Heptylamine;CCCCCCCN;298.15;1.317;Low;0;0
