BIOMASS_name;HHVbiom (MJ/kg);C (%);H (%);O (%);ash (%);VM (%);FC (%);MC (%);H2_CO;H2CO_2bins_5050;H2CO_7030;name_all_prop
cotton seed husks;18.83;48.48;6.12;41.48;2.85;76.08;21.07;9.7;1.794937246;1;0;cotton seed husks with C content of 48.48%, H content of 6.12%, O content of 41.48%, VM content of 76.08%, FC content of 21.07%, ash content of 2.85%, MC (%) content of 9.7, and HHV of 18.83 MJ/kg
cotton stalks;18.26;47.05;5.35;41.23;5.51;73.29;21.2;7.96;2.901851356;1;1;cotton stalks with C content of 47.05%, H content of 5.35%, O content of 41.23%, VM content of 73.29%, FC content of 21.2%, ash content of 5.51%, MC (%) content of 7.96, and HHV of 18.26 MJ/kg
demolition wood;20.19;48.41;5.93;42.58;1.96;77.86;20.18;9.57;1.292905121;0;0;demolition wood with C content of 48.41%, H content of 5.93%, O content of 42.58%, VM content of 77.86%, FC content of 20.18%, ash content of 1.96%, MC (%) content of 9.57, and HHV of 20.19 MJ/kg
empty fruit bunch;18.54;46.3;5.4;37.95;8.9;70.7;20.4;10.2;2.136307538;1;1;empty fruit bunch with C content of 46.3%, H content of 5.4%, O content of 37.95%, VM content of 70.7%, FC content of 20.4%, ash content of 8.9%, MC (%) content of 10.2, and HHV of 18.54 MJ/kg
eucaliptus torrefied;22.2;53.1;6.1;40;0.7;75.4;23.9;2.1;1.423618967;1;0;eucaliptus torrefied with C content of 53.1%, H content of 6.1%, O content of 40.0%, VM content of 75.4%, FC content of 23.9%, ash content of 0.7%, MC (%) content of 2.1, and HHV of 22.2 MJ/kg
eucalyptus bark;18.47;47.4;5.5;41.95;4.8;78.1;17.1;11.8;1.195863948;0;0;eucalyptus bark with C content of 47.4%, H content of 5.5%, O content of 41.95%, VM content of 78.1%, FC content of 17.1%, ash content of 4.8%, MC (%) content of 11.8, and HHV of 18.47 MJ/kg
eucalyptus sawdust;19.5;46.8;6.1;46.5;0.5;84.6;14.9;10.5;0.817036055;0;0;eucalyptus sawdust with C content of 46.8%, H content of 6.1%, O content of 46.5%, VM content of 84.6%, FC content of 14.9%, ash content of 0.5%, MC (%) content of 10.5, and HHV of 19.5 MJ/kg
forest residue wood;20.19;49.84;6.23;40.82;2.15;78.37;19.48;7.38;1.223127298;0;0;forest residue wood with C content of 49.84%, H content of 6.23%, O content of 40.82%, VM content of 78.37%, FC content of 19.48%, ash content of 2.15%, MC (%) content of 7.38, and HHV of 20.19 MJ/kg
grape seeds;22.1;51.43;6.3;35.49;4.59;69.48;25.93;6.3;1.571903132;1;0;grape seeds with C content of 51.43%, H content of 6.3%, O content of 35.49%, VM content of 69.48%, FC content of 25.93%, ash content of 4.59%, MC (%) content of 6.3, and HHV of 22.1 MJ/kg
hazelnut shell;18.3;46.27;5.96;42.43;3.8;77;19.2;11.8;1.586976919;1;0;hazelnut shell with C content of 46.27%, H content of 5.96%, O content of 42.43%, VM content of 77.0%, FC content of 19.2%, ash content of 3.8%, MC (%) content of 11.8, and HHV of 18.3 MJ/kg
oak bark;19.47;49.7;5.4;39.3;5.3;76;18.7;10;1.295129656;0;0;oak bark with C content of 49.7%, H content of 5.4%, O content of 39.3%, VM content of 76.0%, FC content of 18.7%, ash content of 5.3%, MC (%) content of 10.0, and HHV of 19.47 MJ/kg
oak red wood;19.84;49.77;5.99;42.9;1.14;83.38;15.48;9;0.989258155;0;0;oak red wood with C content of 49.77%, H content of 5.99%, O content of 42.9%, VM content of 83.38%, FC content of 15.48%, ash content of 1.14%, MC (%) content of 9.0, and HHV of 19.84 MJ/kg
oak wood;18.16;49.42;5.54;43.83;0.32;84.5;15.18;5.3;1.424067163;1;0;oak wood with C content of 49.42%, H content of 5.54%, O content of 43.83%, VM content of 84.5%, FC content of 15.18%, ash content of 0.32%, MC (%) content of 5.3, and HHV of 18.16 MJ/kg
oat straw;18.94;47.6;5.8;40.12;5.9;80.5;13.6;8.2;1.022061188;0;0;oat straw with C content of 47.6%, H content of 5.8%, O content of 40.12%, VM content of 80.5%, FC content of 13.6%, ash content of 5.9%, MC (%) content of 8.2, and HHV of 18.94 MJ/kg
olive pits;21.39;48.81;6.23;41.42;3.16;78.64;18.2;7.5;0.897108376;0;0;olive pits with C content of 48.81%, H content of 6.23%, O content of 41.42%, VM content of 78.64%, FC content of 18.2%, ash content of 3.16%, MC (%) content of 7.5, and HHV of 21.39 MJ/kg
orange peel and seeds;18.35;46.4;5.7;41.78;4.55;77.11;18.34;7.05;1.848526345;1;1;orange peel and seeds with C content of 46.4%, H content of 5.7%, O content of 41.78%, VM content of 77.11%, FC content of 18.34%, ash content of 4.55%, MC (%) content of 7.05, and HHV of 18.35 MJ/kg
palm kernels;20.71;48.34;6.2;37.44;5.14;77.28;17.58;11.01;0.915288476;0;0;palm kernels with C content of 48.34%, H content of 6.2%, O content of 37.44%, VM content of 77.28%, FC content of 17.58%, ash content of 5.14%, MC (%) content of 11.01, and HHV of 20.71 MJ/kg
peach pits;19.42;49.14;6.34;42.92;1.1;79.1;19.8;6.4;1.766619893;1;0;peach pits with C content of 49.14%, H content of 6.34%, O content of 42.92%, VM content of 79.1%, FC content of 19.8%, ash content of 1.1%, MC (%) content of 6.4, and HHV of 19.42 MJ/kg
peanut shells;18.64;45.77;5.46;41.13;5.89;73.02;21.09;7.99;2.507813517;1;1;peanut shells with C content of 45.77%, H content of 5.46%, O content of 41.13%, VM content of 73.02%, FC content of 21.09%, ash content of 5.89%, MC (%) content of 7.99, and HHV of 18.64 MJ/kg
pine bark;21.37;53.9;5.8;38.27;1.6;71.8;26.6;5;2.049295402;1;1;pine bark with C content of 53.9%, H content of 5.8%, O content of 38.27%, VM content of 71.8%, FC content of 26.6%, ash content of 1.6%, MC (%) content of 5.0, and HHV of 21.37 MJ/kg
pine sawdust;20.48;51.33;6.13;42.04;0.36;84.44;15.2;8.18;0.803366309;0;0;pine sawdust with C content of 51.33%, H content of 6.13%, O content of 42.04%, VM content of 84.44%, FC content of 15.2%, ash content of 0.36%, MC (%) content of 8.18, and HHV of 20.48 MJ/kg
pine torrefied;21.91;54.9;5.8;38.89;0.3;76.7;23;0;1.528341539;1;0;pine torrefied with C content of 54.9%, H content of 5.8%, O content of 38.89%, VM content of 76.7%, FC content of 23.0%, ash content of 0.3%, MC (%) content of 0.0, and HHV of 21.91 MJ/kg
pine wood;20.56;51.58;5.78;42.34;0.23;85.7;14.07;10;0.762773219;0;0;pine wood with C content of 51.58%, H content of 5.78%, O content of 42.34%, VM content of 85.7%, FC content of 14.07%, ash content of 0.23%, MC (%) content of 10.0, and HHV of 20.56 MJ/kg
pineapple waste;19.09;47.39;6.13;40.31;5.09;73.97;20.94;6.77;2.040712322;1;1;pineapple waste with C content of 47.39%, H content of 6.13%, O content of 40.31%, VM content of 73.97%, FC content of 20.94%, ash content of 5.09%, MC (%) content of 6.77, and HHV of 19.09 MJ/kg
pistachio shells;19.7;50.2;6.32;41.16;1.41;81.64;16.95;7.54;1.077224345;0;0;pistachio shells with C content of 50.2%, H content of 6.32%, O content of 41.16%, VM content of 81.64%, FC content of 16.95%, ash content of 1.41%, MC (%) content of 7.54, and HHV of 19.7 MJ/kg
poplar sawdust;19.5;49.42;6;43.08;1.22;85.07;13.71;7.21;0.886522219;0;0;poplar sawdust with C content of 49.42%, H content of 6.0%, O content of 43.08%, VM content of 85.07%, FC content of 13.71%, ash content of 1.22%, MC (%) content of 7.21, and HHV of 19.5 MJ/kg
poplar torrefied;21.2;52.4;6;40.89;0.6;76.5;22.9;0;1.824517432;1;1;poplar torrefied with C content of 52.4%, H content of 6.0%, O content of 40.89%, VM content of 76.5%, FC content of 22.9%, ash content of 0.6%, MC (%) content of 0.0, and HHV of 21.2 MJ/kg
prune pits;20.09;49.26;6.59;41.83;1.41;80.79;17.8;6.4;1.013532498;0;0;prune pits with C content of 49.26%, H content of 6.59%, O content of 41.83%, VM content of 80.79%, FC content of 17.8%, ash content of 1.41%, MC (%) content of 6.4, and HHV of 20.09 MJ/kg
reed canary grass;19.4;44.5;5.8;41.5;7.4;75.9;16.7;8.2;1.220294475;0;0;reed canary grass with C content of 44.5%, H content of 5.8%, O content of 41.5%, VM content of 75.9%, FC content of 16.7%, ash content of 7.4%, MC (%) content of 8.2, and HHV of 19.4 MJ/kg
salix wood;19.4;48.6;6.2;42.8;1.9;82.6;15.5;11.4;0.898151548;0;0;salix wood with C content of 48.6%, H content of 6.2%, O content of 42.8%, VM content of 82.6%, FC content of 15.5%, ash content of 1.9%, MC (%) content of 11.4, and HHV of 19.4 MJ/kg
spruce torrefied;21.4;51.9;6;41.59;0.4;77.8;21.8;0;1.551176798;1;0;spruce torrefied with C content of 51.9%, H content of 6.0%, O content of 41.59%, VM content of 77.8%, FC content of 21.8%, ash content of 0.4%, MC (%) content of 0.0, and HHV of 21.4 MJ/kg
spruce bark;19.83;49.9;5.9;41.43;2.34;75.2;22.46;5.25;2.024432368;1;1;spruce bark with C content of 49.9%, H content of 5.9%, O content of 41.43%, VM content of 75.2%, FC content of 22.46%, ash content of 2.34%, MC (%) content of 5.25, and HHV of 19.83 MJ/kg
sugarcane bagasse;17.33;44.8;5.35;38.19;11.27;73.78;14.95;10.39;1.661188853;1;0;sugarcane bagasse with C content of 44.8%, H content of 5.35%, O content of 38.19%, VM content of 73.78%, FC content of 14.95%, ash content of 11.27%, MC (%) content of 10.39, and HHV of 17.33 MJ/kg
sunflower seed shells;18;47.4;5.8;41.35;4;76.2;19.8;11.32;1.90241809;1;1;sunflower seed shells with C content of 47.4%, H content of 5.8%, O content of 41.35%, VM content of 76.2%, FC content of 19.8%, ash content of 4.0%, MC (%) content of 11.32, and HHV of 18.0 MJ/kg
switchgrass;18.64;46.86;5.85;42.01;4.59;79.19;16.22;8.16;1.29919912;0;0;switchgrass with C content of 46.86%, H content of 5.85%, O content of 42.01%, VM content of 79.19%, FC content of 16.22%, ash content of 4.59%, MC (%) content of 8.16, and HHV of 18.64 MJ/kg
vine shoots;18.81;48.15;5.61;42.84;2.59;77.65;19.76;8.93;1.849215134;1;1;vine shoots with C content of 48.15%, H content of 5.61%, O content of 42.84%, VM content of 77.65%, FC content of 19.76%, ash content of 2.59%, MC (%) content of 8.93, and HHV of 18.81 MJ/kg
walnut shells;20.18;49.98;5.71;43.53;0.56;78.28;21.16;6.1;1.475090586;1;0;walnut shells with C content of 49.98%, H content of 5.71%, O content of 43.53%, VM content of 78.28%, FC content of 21.16%, ash content of 0.56%, MC (%) content of 6.1, and HHV of 20.18 MJ/kg
wheat straw;18.58;46.74;5.73;40.89;5.82;78.72;15.46;9.74;1.193027948;0;0;wheat straw with C content of 46.74%, H content of 5.73%, O content of 40.89%, VM content of 78.72%, FC content of 15.46%, ash content of 5.82%, MC (%) content of 9.74, and HHV of 18.58 MJ/kg
white fir wood;19.67;50.72;5.99;42.49;0.5;83.69;15.81;9.53;0.920300288;0;0;white fir wood with C content of 50.72%, H content of 5.99%, O content of 42.49%, VM content of 83.69%, FC content of 15.81%, ash content of 0.5%, MC (%) content of 9.53, and HHV of 19.67 MJ/kg
willow wood;20.16;49.3;6.6;40.8;2.1;78.6;19.3;11.1;1.034707521;0;0;willow wood with C content of 49.3%, H content of 6.6%, O content of 40.8%, VM content of 78.6%, FC content of 19.3%, ash content of 2.1%, MC (%) content of 11.1, and HHV of 20.16 MJ/kg
