,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed,features
10,RandomForestClassifier,['Diffusion_bool'],25,"[0 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 1 0 1 1 1 0 0 1]","[0 0 0 0 0 1 1 0 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 0 0
 1 0 1 1 0 1 0 0 1 1 0 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 12, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 105, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.64,0.64,0.6347402597402597,0.2879746835443038,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
11,RandomForestClassifier,['Diffusion_bool'],50,"[1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
 0 0 1 0 0 1 0 1 1 1 0 0 1]","[0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 1 1 1 1 0 1 0 1 0 0
 0 0 1 0 0 1 0 0 1 1 0 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 141, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.68,0.68,0.6666666666666666,0.3344425956738768,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
12,RandomForestClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0
 1 0 0 1 0 0 1 0 1 1 0 0 1]","[0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0
 1 0 0 1 1 0 1 0 0 0 0 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 99, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.64,0.64,0.625,0.2512479201331115,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
13,RandomForestClassifier,['Diffusion_bool'],200,"[1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0
 0 1 1 1 0 0 1 0 1 0 1 1 1]","[1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0
 0 0 1 1 1 0 1 0 0 0 1 1 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 295, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.7777777777777779,0.5571658615136876,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
14,RandomForestClassifier,['Diffusion_bool'],500,"[1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0
 1 0 0 1 1 0 1 1 0 0 1 1 1]","[1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0
 1 0 0 1 1 0 1 1 0 0 1 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 89, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.84,0.8399999999999999,0.8397435897435898,0.684044233807267,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
15,XGBClassifier,['Diffusion_bool'],25,"[0 0 0 0 0 0 1 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0
 0 0 1 0 0 1 0 1 1 1 0 0 1]","[0 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 0 1 0 1 0 1 1 1 1 0 1 0 1 1 0 0
 1 0 1 1 0 1 0 0 1 1 0 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7996255193906299, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.03742825854767664, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.01496406658536573, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 13, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 186, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.006862663389118567, 'reg_lambda': 0.050012654452833774, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5805098406052709, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.66,0.66,0.6532027743778049,0.31999999999999995,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
16,XGBClassifier,['Diffusion_bool'],50,"[1 1 0 1 0 0 1 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
 0 0 1 0 0 1 0 1 1 1 0 0 1]","[0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 1 0 0 1 1 1 0 1 1 1 0 0
 0 0 1 0 0 1 0 0 1 1 0 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9622951772636142, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 5.9939487464344745e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.11577169806043285, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 148, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 4.143987699658894e-08, 'reg_lambda': 0.08450567207620174, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6824032421767823, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6666666666666666,0.3344425956738768,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
17,XGBClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 1 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0
 1 0 0 1 0 0 1 0 1 1 0 0 1]","[0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0
 1 0 0 1 1 0 1 0 1 0 0 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8110561238973091, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.409480918927899e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.13429139361636652, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 8, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 283, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.44392166632760754, 'reg_lambda': 4.32655953205048e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7965600949114873, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6753246753246753,0.35170178282009723,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
18,XGBClassifier,['Diffusion_bool'],200,"[1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0
 0 1 1 1 0 0 1 0 1 0 1 1 1]","[1 0 0 1 0 1 0 1 1 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0
 0 0 1 1 1 0 1 0 0 0 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7961581841048457, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.033241567980783406, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.01580310778396104, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 244, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.589968808144463, 'reg_lambda': 0.00013323223119037297, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5357893170351311, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7777777777777779,0.5571658615136876,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
19,XGBClassifier,['Diffusion_bool'],500,"[1 1 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 1 0 0 1 0
 1 0 0 1 1 0 1 1 0 0 1 1 1]","[1 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 1 0 0 0 0
 1 0 0 1 1 1 1 1 0 0 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.704892994162625, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.009232024238972632, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.01740856735842022, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 105, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 5.0292419121713944e-05, 'reg_lambda': 0.06914344675510274, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6573411717411096, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.74,0.74,0.7398959583833533,0.4816586921850079,2,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
20,RandomForestClassifier,['Diffusion_bool'],25,"[0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1
 1 1 0 1 1 1 1 0 0 1 1 1 0]","[0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1
 1 1 0 1 1 1 0 0 1 1 1 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 12, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 148, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.7,0.7,0.6940024479804161,0.38825448613376834,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
21,RandomForestClassifier,['Diffusion_bool'],50,"[1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0
 1 1 1 0 1 1 1 1 0 0 1 1 0]","[1 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0
 1 1 1 0 1 1 1 0 0 1 0 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 224, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.7,0.7,0.6940024479804161,0.38825448613376834,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
22,RandomForestClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1
 0 1 1 1 0 1 1 1 0 0 1 1 0]","[1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1 0
 0 1 1 1 0 1 1 1 0 1 0 1 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 75, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.66,0.66,0.6587715776796468,0.31999999999999995,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
23,RandomForestClassifier,['Diffusion_bool'],200,"[1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0
 1 0 0 1 1 0 1 1 0 0 0 0 1]","[0 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0
 1 1 1 0 0 0 1 0 0 0 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 114, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.76,0.76,0.7453310696095077,0.4915254237288136,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
24,RandomForestClassifier,['Diffusion_bool'],500,"[1 1 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0
 0 0 1 0 1 0 1 1 1 1 0 0 1]","[1 1 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0 1 0 0
 1 0 0 0 0 0 1 0 0 1 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 282, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.68,0.68,0.6753246753246753,0.35170178282009723,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
25,XGBClassifier,['Diffusion_bool'],25,"[0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 0 1
 1 1 0 1 1 1 1 0 0 1 1 1 0]","[0 1 1 0 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 1 0 1
 1 1 0 1 1 1 0 0 1 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9048208919644445, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0005224689047364151, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.012371080286001682, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 69, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.0055581427859122e-06, 'reg_lambda': 0.4355485382576189, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7475904075279485, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6753246753246753,0.35170178282009723,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
26,XGBClassifier,['Diffusion_bool'],50,"[1 0 1 0 0 1 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0
 1 1 1 0 1 1 1 1 0 0 1 1 0]","[1 0 1 0 1 1 0 1 0 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 1 1 0 0 1 0
 1 1 1 0 1 1 1 0 0 1 0 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8751877054748631, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.00014472561275840734, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.012463310819768064, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 158, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.302592086562708e-06, 'reg_lambda': 0.0007046068025356513, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6600849604568366, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6753246753246753,0.35170178282009723,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
27,XGBClassifier,['Diffusion_bool'],100,"[0 0 0 0 1 1 1 1 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1
 0 1 1 1 0 1 1 1 0 0 1 1 0]","[1 0 0 1 0 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0
 0 1 1 1 0 1 1 1 0 1 0 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6477804682403241, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.3680343590374903e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.024811122047552644, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 217, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 5.0759836485925424e-08, 'reg_lambda': 3.0588677555881456e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6364012058916753, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.68,0.68,0.6779388083735911,0.35691318327974275,3,"['ABCD0', 'ABCD1', 'ABCD2', 'ABCD3', 'ABCD4', 'ABCD5', 'ABCD6', 'ABCD7', 'ABCD8', 'ABCD9', 'ABCD10', 'ABCD11', 'ABCD12', 'ABCD13', 'ABCD14', 'ABCD15', 'ABCD16', 'ABCD17', 'ABCD18']"
