,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
10,XGBClassifier,['second_phase_bin_1.14'],25,"[0 0 0 1 1 1 1 1 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 1 0 0 1 0 1 1 0 1 0 0
 0 1 1 1 0 0 1 0 0 1 1 1 1]","[0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0
 0 0 1 1 0 0 1 0 0 1 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5090466508568581, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 7.35936201456385e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.07683946850853925, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 291, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 7.168070654997618e-05, 'reg_lambda': 0.00020974954181744926, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9768843233332772, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.82,0.82,0.8164014687882497,0.6445497630331753,1
11,XGBClassifier,['second_phase_bin_1.14'],30,"[1 0 0 0 1 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0
 0 1 1 1 0 0 1 0 0 1 1 1 1]","[1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 1 1 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 0 1 1 0 0
 0 1 1 1 0 0 1 0 0 1 1 1 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5144702667945801, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.7322508731853666e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.20294009384808484, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 211, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.0016527120703588119, 'reg_lambda': 0.0005989308942455709, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9378884536868506, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.9,0.9,0.8999599839935976,0.8006379585326954,1
12,RandomForestClassifier,['grain_size_bin'],10,"[0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1
 1 0 1 0 1 0 0 0 0 0 1 0 1]","[0 0 0 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1
 1 0 1 0 1 0 0 0 0 0 1 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 225, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.92,0.92,0.9188311688311688,0.8387096774193549,2
13,RandomForestClassifier,['grain_size_bin'],25,"[0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 1 0 1 1 0 0 1]","[0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 1 0 1 1 0 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 77, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.94,0.94,0.9369482976040353,0.8743718592964824,2
14,RandomForestClassifier,['grain_size_bin'],30,"[0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 0
 0 0 0 0 1 1 1 0 1 1 0 0 1]","[0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 0 0
 0 0 0 0 1 1 1 0 1 1 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 257, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.96,0.96,0.9583333333333333,0.9168053244592346,2
15,RandomForestClassifier,['second_phase_bin_1.14'],10,"[0 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1
 1 0 1 0 1 0 0 0 0 1 1 0 1]","[0 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 1 1
 1 0 1 0 1 1 0 0 0 1 1 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 292, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.9,0.9,0.8996386993175431,0.8012718600953895,2
16,RandomForestClassifier,['second_phase_bin_1.14'],25,"[1 0 1 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0
 1 0 0 0 1 1 1 1 1 0 0 0 1]","[1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 0 0
 1 1 0 0 1 1 1 1 1 0 1 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 292, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.86,0.8599999999999999,0.8585858585858586,0.7172859450726979,2
17,RandomForestClassifier,['second_phase_bin_1.14'],30,"[1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0
 1 0 0 0 1 1 1 1 1 0 0 0 1]","[1 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0
 1 1 0 0 0 1 1 1 1 0 1 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 15, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 69, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.82,0.82,0.8199279711884755,0.6411483253588517,2
18,XGBClassifier,['grain_size_bin'],10,"[0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 1 1 1 1 0 1 1 0 1 0 0 1 1 1
 1 0 1 0 1 0 0 0 0 0 1 0 1]","[0 0 1 0 1 0 0 1 1 1 1 1 0 0 1 1 1 0 0 1 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 1
 1 0 1 0 1 0 0 0 0 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5395282890687996, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.461970164025515e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.11884030885257854, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 8, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 103, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.6614132036191062e-05, 'reg_lambda': 0.020936011370731877, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8526861433932402, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.7,0.7,0.696969696969697,0.3961352657004831,2
19,XGBClassifier,['grain_size_bin'],25,"[0 0 1 1 1 0 1 0 1 1 1 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 0 0 1 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 1 0 1 1 0 0 1]","[0 0 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0
 0 0 0 0 0 1 1 0 1 1 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6624567236130776, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.5099930167590492, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.03139374747641573, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 285, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.2591203692651118e-06, 'reg_lambda': 0.001378596574178936, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.905617906744393, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.94,0.94,0.9369482976040353,0.8743718592964824,2
20,XGBClassifier,['grain_size_bin'],30,"[0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 1 1 0 0 1 1 0 0
 0 0 0 0 1 1 1 0 1 1 0 0 1]","[0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 1 1 0 0
 0 0 0 0 1 1 1 0 1 1 0 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6165462823701263, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.516861581717444e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.23528819916266247, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 250, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.01701830851531166, 'reg_lambda': 0.00013970286824982686, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6889963653276544, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.96,0.96,0.9583333333333333,0.9168053244592346,2
21,XGBClassifier,['second_phase_bin_1.14'],10,"[0 1 0 1 1 0 0 1 0 1 1 1 0 0 1 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 0 1 1 1
 1 0 1 0 1 0 0 0 0 1 1 0 1]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7349398414494364, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0019602825809243336, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.010078885081662804, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 9, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 67, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 2.2551883881437346e-08, 'reg_lambda': 8.84157601333144e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6853989736604785, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.48,0.48,0.32432432432432434,0.0,2
22,XGBClassifier,['second_phase_bin_1.14'],25,"[1 0 1 0 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 0
 1 0 0 0 1 1 1 1 1 0 0 0 1]","[1 0 1 0 0 1 0 1 1 0 1 0 1 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0
 1 1 0 0 1 1 1 1 1 0 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7652238765028865, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.0483630902941636e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.14993276297553676, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 11, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 156, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.04794236325199038, 'reg_lambda': 4.668178031404587e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5432753984090593, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.82,0.82,0.8181818181818182,0.6365105008077545,2
