,Materials,Prozessbedingung,homogenized_temperature,homogenized_time,solutionized_temperature,solutionized_time,extrution_temperature,extrution_speed,extrusion_ratio,ECAE_temperature,ECAE_pass,Fe,Cu,Ni,Nd,Zn,Ca,Al,Sn,Mn,Si,Gd,Y,Zr,grain_size,grain_size_error,second_phase,second_phase_error,vpd,grain_size_bin,second_phase_bin_1.14,concentration_string,total_string
17,Mg–3Zn–0.3Ca,heat-treated,,,310.0,24.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,7.0,1.7,0.2,50,1,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 24.0, solutized temperature 310.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
18,Mg–3Zn–0.3Ca,heat-treated,,,360.0,24.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,9.0,1.5,0.1,50,1,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 24.0, solutized temperature 360.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
19,Mg–3Zn–0.3Ca,heat-treated,,,400.0,24.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,5.0,1.3,0.3,50,1,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 24.0, solutized temperature 400.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
20,Mg–3Zn–0.3Ca,heat-treated,,,420.0,24.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,8.0,0.7,0.3,50,1,0,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 24.0, solutized temperature 420.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
21,Mg–3Zn–0.3Ca,heat-treated,,,420.0,48.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,7.0,0.2,0.1,50,1,0,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 48.0, solutized temperature 420.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
22,Mg–3Zn–0.3Ca,heat-treated,,,450.0,24.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,9.0,0.08,0.03,50,1,0,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 24.0, solutized temperature 450.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
23,Mg–3Zn–0.3Ca,heat-treated,,,450.0,48.0,,,,,,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,10.0,0.06,0.01,50,1,0,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; heat-treated, homogenized temperature nan, homogenized time nan, solutionized time 48.0, solutized temperature 450.0, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.0 Zn, 0.3 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
24,Mg-0.5Mn-0.5Ca,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.52,0.0,0.0,0.0,0.0,2.8,,2.2,0.4,-96.23,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.39 Ca, 0.0 Al, 0.0 Sn, 0.52 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.39 Ca, 0.0 Al, 0.0 Sn, 0.52 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
25,Mg-0.5Mn-0.5Ca-2Al,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.42,2.38,0.0,0.48,0.0,0.0,0.0,0.0,1.95,,8.0,1.1,533.675,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.42 Ca, 2.38 Al, 0.0 Sn, 0.48 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.42 Ca, 2.38 Al, 0.0 Sn, 0.48 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
26,Mg-0.5Mn-0.5Ca-9Sn,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.49,0.0,9.14,0.54,0.0,0.0,0.0,0.0,2.91,,23.1,4.0,254.92,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.49 Ca, 0.0 Al, 9.14 Sn, 0.54 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.49 Ca, 0.0 Al, 9.14 Sn, 0.54 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
27,Mg-0.5Mn-0.5Ca-4Zn,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,3.9,0.44,0.0,0.0,0.56,0.0,0.0,0.0,0.0,2.47,,8.7,1.1,396.05,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.9 Zn, 0.44 Ca, 0.0 Al, 0.0 Sn, 0.56 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.9 Zn, 0.44 Ca, 0.0 Al, 0.0 Sn, 0.56 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
28,Mg-1Ca,as-cast,,,,,,,,,,0.0023,0.0,0.0,0.0,0.0,0.8533,0.0072,0.0,0.0126,0.0158,0.0,0.0,0.0,85.0,11.0,5.1,1.2,-126,1,1,"0.0023 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.8533 Ca, 0.0072 Al, 0.0 Sn, 0.0126 Mn, 0.0158 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; as-cast, homogenized temperature nan, homogenized time nan, solutionized time nan, solutized temperature nan, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0023 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.8533 Ca, 0.0072 Al, 0.0 Sn, 0.0126 Mn, 0.0158 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
29,Mg-1Ca-2Zn,as-cast,,,,,,,,,,0.0035,0.0,0.0,0.0,1.7242,0.8641,0.0056,0.0,0.0148,0.0203,0.0,0.0,0.0,65.0,9.0,10.7,1.1,-38,1,1,"0.0035 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 1.7242 Zn, 0.8641 Ca, 0.0056 Al, 0.0 Sn, 0.0148 Mn, 0.0203 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; as-cast, homogenized temperature nan, homogenized time nan, solutionized time nan, solutized temperature nan, extrusion temperature nan, extrusion speed nan, extrusion ratio nan, concentrations 0.0035 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 1.7242 Zn, 0.8641 Ca, 0.0056 Al, 0.0 Sn, 0.0148 Mn, 0.0203 Si, 0.0 Gd, 0.0 Y, 0.0 Zr"
