,SMILES,E_adh,E_adh_2classes,prompt
40,B B B B B B A B A B B B A B B B A B A B,7.485130466666668,0,a co-polymer with sequence B B B B B B A B A B B B A B B B A B A B
41,B B B B A B A B A A B A A A A B A B B B,8.20258056666667,0,a co-polymer with sequence B B B B A B A B A A B A A A A B A B B B
42,B B A A A B A B A A A A B A B A A B A A,8.178504900000004,0,a co-polymer with sequence B B A A A B A B A A A A B A B A A B A A
43,A A B B B A B A B A B A B B B A A B B A,7.966925299999998,0,a co-polymer with sequence A A B B B A B A B A B A B B B A A B B A
44,B B B A B B B B A B A A B B B B B B B B,7.965311533333331,0,a co-polymer with sequence B B B A B B B B A B A A B B B B B B B B
45,A B A B A A A A A A B A B B B A B A B B,8.379248266666668,1,a co-polymer with sequence A B A B A A A A A A B A B B B A B A B B
46,B A A A B A A A A A B B A B A B A B B A,8.222886566666668,1,a co-polymer with sequence B A A A B A A A A A B B A B A B A B B A
47,B B A B A B A A A A B A A A A A B A B A,8.389129299999999,1,a co-polymer with sequence B B A B A B A A A A B A A A A A B A B A
48,A A B A A B A A A A A A B A A A B B B A,8.504493733333332,1,a co-polymer with sequence A A B A A B A A A A A A B A A A B B B A
49,B A A B B B B B B B B A A B B B B B B B,7.929318066666667,0,a co-polymer with sequence B A A B B B B B B B B A A B B B B B B B
50,A B A A A A A A B A B B B A B B A B A B,8.376884266666664,1,a co-polymer with sequence A B A A A A A A B A B B B A B B A B A B
51,B B B A B B B A A A B B B B B B B B B B,8.065928033333334,0,a co-polymer with sequence B B B A B B B A A A B B B B B B B B B B
52,B B B B B B B B B A B B B A A A B A B B,8.266650166666672,1,a co-polymer with sequence B B B B B B B B B A B B B A A A B A B B
53,B B A B B B B B B A B A A B B B B B B B,8.028903766666664,0,a co-polymer with sequence B B A B B B B B B A B A A B B B B B B B
54,A B B A A B A B B B B B B B A B B B B B,7.930454233333334,0,a co-polymer with sequence A B B A A B A B B B B B B B A B B B B B
55,A B A A A B A B A B B B A A A A A B A A,8.310019933333335,1,a co-polymer with sequence A B A A A B A B A B B B A A A A A B A A
56,A B B B B B B B B B B A B B B B B A B A,7.906572900000002,0,a co-polymer with sequence A B B B B B B B B B B A B B B B B A B A
57,A B A A B B A B A A A B B A B A A B B A,7.829568066666669,0,a co-polymer with sequence A B A A B B A B A A A B B A B A A B B A
58,A A B B A B A B B A A B A A B A B A A B,7.941466699999999,0,a co-polymer with sequence A A B B A B A B B A A B A A B A B A A B
59,B A B B A A B A B A A B B A A B A B A A,7.878289933333335,0,a co-polymer with sequence B A B B A A B A B A A B B A A B A B A A
60,A B B B A A A B A B A A B A A A A A B B,8.276492966666668,1,a co-polymer with sequence A B B B A A A B A B A A B A A A A A B B
61,B A A A A A B A A A B A B A A B A B A B,8.037030399999999,0,a co-polymer with sequence B A A A A A B A A A B A B A A B A B A B
62,B A A A B B B A B A B B B B B A B B B B,8.206719733333333,1,a co-polymer with sequence B A A A B B B A B A B B B B B A B B B B
63,A A A B B B B B A A B A A A A A A A B B,8.89612903333333,1,a co-polymer with sequence A A A B B B B B A A B A A A A A A A B B
64,B A B B B B B B A A A B B B B A A A B B,8.466018433333332,1,a co-polymer with sequence B A B B B B B B A A A B B B B A A A B B
65,A A A A B A B A A A A A A A A B A A A B,8.296757533333334,1,a co-polymer with sequence A A A A B A B A A A A A A A A B A A A B
66,B B B A B B B A B B B B B B B B B A B B,7.586129333333336,0,a co-polymer with sequence B B B A B B B A B B B B B B B B B A B B
67,A A A A A A A A A A A A A A A A A A A B,8.700644633333333,1,a co-polymer with sequence A A A A A A A A A A A A A A A A A A A B
68,A B B A A A A A A B B A A A A A A A A A,8.722330766666666,1,a co-polymer with sequence A B B A A A A A A B B A A A A A A A A A
69,B B B A A B B A B B B B A B A B A B A A,8.031675166666666,0,a co-polymer with sequence B B B A A B B A B B B B A B A B A B A A
70,B B B B B A B A A B A B B A B A B B A A,8.033731800000002,0,a co-polymer with sequence B B B B B A B A A B A B B A B A B B A A
71,A B A B A A A B B B A B B A A B A B B A,8.047085800000001,0,a co-polymer with sequence A B A B A A A B B B A B B A A B A B B A
72,B B B B B B B A B B A A B B B B B A B B,7.728590966666667,0,a co-polymer with sequence B B B B B B B A B B A A B B B B B A B B
73,B B A A B A A B B B B A A A A B B A B B,8.201703266666668,0,a co-polymer with sequence B B A A B A A B B B B A A A A B B A B B
74,A A B A B B A B B B B A B B B B B B B B,8.104769166666667,0,a co-polymer with sequence A A B A B B A B B B B A B B B B B B B B
75,A A A B A A B B A B B B B B B B B B A B,8.084952033333332,0,a co-polymer with sequence A A A B A A B B A B B B B B B B B B A B
76,B B B A A A A B B B B B B A B B A A A B,8.276586733333332,1,a co-polymer with sequence B B B A A A A B B B B B B A B B A A A B
77,B B B B B B A A B B B A B A B B B B B B,7.772933266666664,0,a co-polymer with sequence B B B B B B A A B B B A B A B B B B B B
78,A A B B A A B A B A B A A B B A B A A B,7.906494766666666,0,a co-polymer with sequence A A B B A A B A B A B A A B B A B A A B
79,B A B A A B B A A B B A B A B B B B B A,8.100584300000005,0,a co-polymer with sequence B A B A A B B A A B B A B A B B B B B A
80,B B A A A B B B B A A B B A B B B B A A,8.362174066666665,1,a co-polymer with sequence B B A A A B B B B A A B B A B B B B A A
81,A A A A A B B B B A A B A A A A B A A A,8.659405799999998,1,a co-polymer with sequence A A A A A B B B B A A B A A A A B A A A
82,A A A B A A A A A B B B A A A A A A B B,8.726103400000001,1,a co-polymer with sequence A A A B A A A A A B B B A A A A A A B B
83,A A B A A B A A B A A A A A A A A B A A,8.215839400000004,1,a co-polymer with sequence A A B A A B A A B A A A A A A A A B A A
84,A A A B A B B A B B A B A B B B A B B A,8.152605466666666,0,a co-polymer with sequence A A A B A B B A B B A B A B B B A B B A
85,B A A A A A A A A B B A A B A A B A B A,8.4424438,1,a co-polymer with sequence B A A A A A A A A B B A A B A A B A B A
86,A A A A B B A A B B B A A B A A B A B B,8.330625,1,a co-polymer with sequence A A A A B B A A B B B A A B A A B A B B
87,A B A A A A A A A A A A A A A A A A A B,8.424782099999998,1,a co-polymer with sequence A B A A A A A A A A A A A A A A A A A B
88,A B B B B B B A B B B B B B B B B B A B,7.859644766666664,0,a co-polymer with sequence A B B B B B B A B B B B B B B B B B A B
89,A A A A A B A A A B A A A A A B B B A B,8.766169133333333,1,a co-polymer with sequence A A A A A B A A A B A A A A A B B B A B
90,B B B A B B A B B B A B A B B B B B B B,7.685670633333334,0,a co-polymer with sequence B B B A B B A B B B A B A B B B B B B B
91,A A A A A B A B B B A A B B B B B B B B,8.451197199999998,1,a co-polymer with sequence A A A A A B A B B B A A B B B B B B B B
92,A A B B B B A A B A A A B A A A A B A B,8.206820000000002,1,a co-polymer with sequence A A B B B B A A B A A A B A A A A B A B
93,B B A B A A B B A B A A A A B B A B B B,8.068717033333336,0,a co-polymer with sequence B B A B A A B B A B A A A A B B A B B B
94,B B A A A A A A B B A A B A B B A A A A,8.705465100000001,1,a co-polymer with sequence B B A A A A A A B B A A B A B B A A A A
95,B B A B B B A A B B B B B A A B B B A A,8.188321799999997,0,a co-polymer with sequence B B A B B B A A B B B B B A A B B B A A
96,B B A B A B A A B A A A A B B A B B B A,8.114832066666665,0,a co-polymer with sequence B B A B A B A A B A A A A B B A B B B A
97,A A A A A A A A A B A B A A A A A B A A,8.494219466666664,1,a co-polymer with sequence A A A A A A A A A B A B A A A A A B A A
98,B B B B B A A A A B A B B A A B B B B A,8.365610533333335,1,a co-polymer with sequence B B B B B A A A A B A B B A A B B B B A
99,A A A A A B A A B A A B A B A B B A B A,7.990956500000001,0,a co-polymer with sequence A A A A A B A A B A A B A B A B B A B A
100,A B B B A A A B B B B A B B B B B B B B,8.174434766666668,0,a co-polymer with sequence A B B B A A A B B B B A B B B B B B B B
101,B A A B B B B B A A B B B B B A B A B B,7.950963600000003,0,a co-polymer with sequence B A A B B B B B A A B B B B B A B A B B
102,A A A A A B A A A A A B B B A B A A A A,8.686537333333336,1,a co-polymer with sequence A A A A A B A A A A A B B B A B A A A A
103,B B A A A A A A A B A A A A A B A B A B,8.281617633333333,1,a co-polymer with sequence B B A A A A A A A B A A A A A B A B A B
104,B B B B A A B B B A B B B B B B B B B B,7.800239333333332,0,a co-polymer with sequence B B B B A A B B B A B B B B B B B B B B
105,A B B A B A B A B B B B B B A B A B A A,7.787558633333333,0,a co-polymer with sequence A B B A B A B A B B B B B B A B A B A A
106,B B A B A A A A A A A A A A A A A A A A,8.947565700000004,1,a co-polymer with sequence B B A B A A A A A A A A A A A A A A A A
107,A A A A A A A A A B B B A B B B B B A A,8.919976866666666,1,a co-polymer with sequence A A A A A A A A A B B B A B B B B B A A
108,B A A A A A B B A B A A A A B A A A A A,8.523147066666667,1,a co-polymer with sequence B A A A A A B B A B A A A A B A A A A A
109,A A B B A A A A A A A A A A A B A A A A,8.710631599999997,1,a co-polymer with sequence A A B B A A A A A A A A A A A B A A A A
110,A A B A A B A B B A A A A A A A B A A B,8.301554700000002,1,a co-polymer with sequence A A B A A B A B B A A A A A A A B A A B
111,A A A A B B B B B A A A A B A B B B A B,8.477665333333332,1,a co-polymer with sequence A A A A B B B B B A A A A B A B B B A B
112,A A A A B B B B B A A A A B A B A A A A,8.748587400000002,1,a co-polymer with sequence A A A A B B B B B A A A A B A B A A A A
113,B A A B A A A A B B B B A B B B A A B B,8.290048800000001,1,a co-polymer with sequence B A A B A A A A B B B B A B B B A A B B
114,A A B A A A B A A B A B A A A A A A A B,8.235539333333337,1,a co-polymer with sequence A A B A A A B A A B A B A A A A A A A B
115,B B B B B A B A B B B B A A B B B B B B,7.9161225333333345,0,a co-polymer with sequence B B B B B A B A B B B B A A B B B B B B
116,A A A A B A A A A B A A A A B B B A A A,8.6091947,1,a co-polymer with sequence A A A A B A A A A B A A A A B B B A A A
117,A A A A A A A A A B A A B B A A B A A A,8.409237366666666,1,a co-polymer with sequence A A A A A A A A A B A A B B A A B A A A
118,B B B A B A B B A A B B B A B B B A B B,7.884417233333332,0,a co-polymer with sequence B B B A B A B B A A B B B A B B B A B B
119,B B B B B A B B B B A B A B A B B A B B,7.795746299999998,0,a co-polymer with sequence B B B B B A B B B B A B A B A B B A B B
120,B A A A A A B A A A A A A A B A B B B A,8.54716386666667,1,a co-polymer with sequence B A A A A A B A A A A A A A B A B B B A
121,B A B A A B A B B B A A B A B A A A B B,7.850888399999997,0,a co-polymer with sequence B A B A A B A B B B A A B A B A A A B B
122,B B B B B A A B B A B B B B B B B B A B,7.835334066666668,0,a co-polymer with sequence B B B B B A A B B A B B B B B B B B A B
123,B B B B B B B B B A B B B A A B B A A B,8.002137266666669,0,a co-polymer with sequence B B B B B B B B B A B B B A A B B A A B
124,B B B B B B B B A B B B B B B B B A B A,7.810970933333332,0,a co-polymer with sequence B B B B B B B B A B B B B B B B B A B A
125,B B A A A A B A B A A A A B A B A B B A,8.166606833333331,0,a co-polymer with sequence B B A A A A B A B A A A A B A B A B B A
126,A A A A B A B A A A A A A B A A A A B A,8.235317233333333,1,a co-polymer with sequence A A A A B A B A A A A A A B A A A A B A
127,B B B B B B A B B A B B B B B B A A B A,7.867899333333332,0,a co-polymer with sequence B B B B B B A B B A B B B B B B A A B A
128,B B B B B B B A B A B A B B A A A A A A,8.622037433333333,1,a co-polymer with sequence B B B B B B B A B A B A B B A A A A A A
129,A A B A B A A A B A B A B B A B B B B B,8.152497633333335,0,a co-polymer with sequence A A B A B A A A B A B A B B A B B B B B
130,A A A B B A A A B B A A B B A A A B A B,8.368864800000004,1,a co-polymer with sequence A A A B B A A A B B A A B B A A A B A B
131,A A A A B B A B A B B B A A B A A A A A,8.331516500000001,1,a co-polymer with sequence A A A A B B A B A B B B A A B A A A A A
132,B A B A A B B A A A A A A A B A A B B A,8.156757766666669,0,a co-polymer with sequence B A B A A B B A A A A A A A B A A B B A
133,A B B B A A B B B B B B B B B A B B B A,7.861532833333335,0,a co-polymer with sequence A B B B A A B B B B B B B B B A B B B A
134,A A A B B A A B B A B B A B A B B A B B,7.885286399999998,0,a co-polymer with sequence A A A B B A A B B A B B A B A B B A B B
135,A A A A A A A B B A A A B A A A A A B A,8.316382800000001,1,a co-polymer with sequence A A A A A A A B B A A A B A A A A A B A
136,A B A A B A A A B A B B A A A A A B B B,8.132027066666668,0,a co-polymer with sequence A B A A B A A A B A B B A A A A A B B B
137,B A A B A A B A A B B A A B B A A B B A,8.029068299999999,0,a co-polymer with sequence B A A B A A B A A B B A A B B A A B B A
138,A A B A B A B B B B B B B A B B B B B A,7.889390033333337,0,a co-polymer with sequence A A B A B A B B B B B B B A B B B B B A
139,A A A B A A B A A A A A A A A B A A B B,8.304485733333332,1,a co-polymer with sequence A A A B A A B A A A A A A A A B A A B B
140,A B A B A A A A A A B A A A A B A B A B,8.164404166666664,0,a co-polymer with sequence A B A B A A A A A A B A A A A B A B A B
141,A A A A A B B B B B B B B B B B A A A A,8.8979749,1,a co-polymer with sequence A A A A A B B B B B B B B B B B A A A A
142,A B A A A A A A A A A B B B A A A A A A,8.806242733333333,1,a co-polymer with sequence A B A A A A A A A A A B B B A A A A A A
143,B B A B A B B A A B A A B A A A B B A A,8.0200986,0,a co-polymer with sequence B B A B A B B A A B A A B A A A B B A A
144,B B B B B B B A B A A B B B B B B A B A,7.957613933333331,0,a co-polymer with sequence B B B B B B B A B A A B B B B B B A B A
145,A A A B A A A A A A B A A A A A A A A A,8.2575291,1,a co-polymer with sequence A A A B A A A A A A B A A A A A A A A A
146,B B B A B B B A B B A B B A B B A B B B,7.686608533333329,0,a co-polymer with sequence B B B A B B B A B B A B B A B B A B B B
147,A A A A A B B B A A A A A A B A A A A A,8.527423266666666,1,a co-polymer with sequence A A A A A B B B A A A A A A B A A A A A
148,B A B B B B A B A B A B B B A B B A B A,7.68581023333333,0,a co-polymer with sequence B A B B B B A B A B A B B B A B B A B A
149,B A B B B A B A A A B B A B A A B A B A,7.891187833333332,0,a co-polymer with sequence B A B B B A B A A A B B A B A A B A B A
150,B B B A A A B B B B B B A B B B A B B B,8.003775033333335,0,a co-polymer with sequence B B B A A A B B B B B B A B B B A B B B
151,B A A A B B B B B B A B B A B B B B B A,8.131467099999998,0,a co-polymer with sequence B A A A B B B B B B A B B A B B B B B A
152,B A A A A B B A B B A B B A B A A B A B,8.006877433333337,0,a co-polymer with sequence B A A A A B B A B B A B B A B A A B A B
153,A A A A A A A A A B A B A B A A A B A A,8.630271433333334,1,a co-polymer with sequence A A A A A A A A A B A B A B A A A B A A
154,A A A A B A A A A B A B A A A B A A A A,8.617698233333332,1,a co-polymer with sequence A A A A B A A A A B A B A A A B A A A A
155,A A B A A B B B A A A B B A B A A B A A,8.152187333333332,0,a co-polymer with sequence A A B A A B B B A A A B B A B A A B A A
156,A A A A A A A B A A A A A B B B A B A A,8.691876166666665,1,a co-polymer with sequence A A A A A A A B A A A A A B B B A B A A
157,B B A A A A B A A B A A B A A A A B B B,8.350479100000001,1,a co-polymer with sequence B B A A A A B A A B A A B A A A A B B B
158,A A B A B B B B A B A A B B B A A A A B,8.492636133333331,1,a co-polymer with sequence A A B A B B B B A B A A B B B A A A A B
159,B B B B B A B B A A A B A A B B A B B B,8.058795266666666,0,a co-polymer with sequence B B B B B A B B A A A B A A B B A B B B
160,B B A B B B B B B B B B B A A B B A B A,7.9462723666666655,0,a co-polymer with sequence B B A B B B B B B B B B B A A B B A B A
161,B B B B B B A B B B B B B A B B B B B B,7.565260833333333,0,a co-polymer with sequence B B B B B B A B B B B B B A B B B B B B
162,B A B B A A A A A B B B A B B B B A A B,8.2352393,1,a co-polymer with sequence B A B B A A A A A B B B A B B B B A A B
163,A B B B B A A B A A B B B A A B B B A B,8.08794433333333,0,a co-polymer with sequence A B B B B A A B A A B B B A A B B B A B
164,A A A A A A B B A B A B A A A A A B A A,8.6130064,1,a co-polymer with sequence A A A A A A B B A B A B A A A A A B A A
165,B A A A A B A A B A A A B B B A A A B A,8.333493233333334,1,a co-polymer with sequence B A A A A B A A B A A A B B B A A A B A
166,B B B B B B B B B B B A B A B A B A B B,7.802616533333335,0,a co-polymer with sequence B B B B B B B B B B B A B A B A B A B B
167,B B B A B B B A B B B B B B A A A B B B,8.003775033333335,0,a co-polymer with sequence B B B A B B B A B B B B B B A A A B B B
168,A A B A A A A A A A A A A A A B A A B A,8.600579666666668,1,a co-polymer with sequence A A B A A A A A A A A A A A A B A A B A
169,A B A B A A A B B B B B A A A A B B B A,8.504298666666669,1,a co-polymer with sequence A B A B A A A B B B B B A A A A B B B A
170,A B B B A B A B A B B B B A B A B A A B,7.711684199999999,0,a co-polymer with sequence A B B B A B A B A B B B B A B A B A A B
171,B A A A B A B B A B B A A A A A B B B B,8.474526199999998,1,a co-polymer with sequence B A A A B A B B A B B A A A A A B B B B
172,B B A B B A B B B B A B B A B B A A B B,7.735015066666662,0,a co-polymer with sequence B B A B B A B B B B A B B A B B A A B B
173,B A B B B B B B B B A B A B B A B B A B,7.699122633333333,0,a co-polymer with sequence B A B B B B B B B B A B A B B A B B A B
174,A B A B B B B B B B A B A B B A A A B B,8.305548933333332,1,a co-polymer with sequence A B A B B B B B B B A B A B B A A A B B
175,B B A B B A A B B B B B B B B B B A B B,7.846691099999999,0,a co-polymer with sequence B B A B B A A B B B B B B B B B B A B B
176,B B A A A A A A A B B B A A A A A B A A,8.557947966666667,1,a co-polymer with sequence B B A A A A A A A B B B A A A A A B A A
177,B A A A A A B A A A B A A A B A A A A B,8.352337433333332,1,a co-polymer with sequence B A A A A A B A A A B A A A B A A A A B
178,B A A A A B B B A B A B B A A B B B A A,8.3632773,1,a co-polymer with sequence B A A A A B B B A B A B B A A B B B A A
179,A B B B B B B A A A B B B B B A B A B B,7.957166733333333,0,a co-polymer with sequence A B B B B B B A A A B B B B B A B A B B
180,B B B B A B B B B B B B B B B B B A B A,7.958796999999999,0,a co-polymer with sequence B B B B A B B B B B B B B B B B B A B A
181,A B A B B B A B B B B B B B B B B A B B,7.876483633333336,0,a co-polymer with sequence A B A B B B A B B B B B B B B B B A B B
182,B A A B B A A B A B B B A B A B A A A B,8.04890693333333,0,a co-polymer with sequence B A A B B A A B A B B B A B A B A A A B
183,A B A A A A A A A A A A A B A A B A B A,8.648777833333336,1,a co-polymer with sequence A B A A A A A A A A A A A B A A B A B A
184,B A A A B A B B B B B B B B B B A B B B,7.898833533333335,0,a co-polymer with sequence B A A A B A B B B B B B B B B B A B B B
185,A B B A B A B B A B A B B B B B A A B A,7.857572299999996,0,a co-polymer with sequence A B B A B A B B A B A B B B B B A A B A
186,A A A B A A A A A B A A A A A A A A B A,8.500508733333334,1,a co-polymer with sequence A A A B A A A A A B A A A A A A A A B A
187,B B A A B A A B A A A B B A A B A A B A,8.132164466666671,0,a co-polymer with sequence B B A A B A A B A A A B B A A B A A B A
188,B A B B B B A B B B B B A B B A B A B B,7.506073266666666,0,a co-polymer with sequence B A B B B B A B B B B B A B B A B A B B
189,A A A A A A A B A B A B A B A A A A A A,8.492332466666664,1,a co-polymer with sequence A A A A A A A B A B A B A B A A A A A A
190,B B B A B A B A A A B A A B B A A B B B,8.0157623,0,a co-polymer with sequence B B B A B A B A A A B A A B B A A B B B
191,A A A B B A B A A A A B B B B B A B B A,8.481708900000001,1,a co-polymer with sequence A A A B B A B A A A A B B B B B A B B A
192,A A A A A A A A A A A A A A A B A B A A,8.5061146,1,a co-polymer with sequence A A A A A A A A A A A A A A A B A B A A
193,B A A B A A B A B B B A A B B A A A A B,8.114925166666666,0,a co-polymer with sequence B A A B A A B A B B B A A B B A A A A B
194,B A B B A A A B B B A B B B B B A B B B,8.044872466666666,0,a co-polymer with sequence B A B B A A A B B B A B B B B B A B B B
195,A B B A B A A A B B B A B A A B B B A A,8.32009966666667,1,a co-polymer with sequence A B B A B A A A B B B A B A A B B B A A
196,A A A A A A A A A B A B A A A A B A B A,8.338080633333332,1,a co-polymer with sequence A A A A A A A A A B A B A A A A B A B A
197,A B A A A A A B B B A A B B A A A A B A,8.490440166666664,1,a co-polymer with sequence A B A A A A A B B B A A B B A A A A B A
198,A B A A B A B A A A B B A A B A B B B B,8.0873021,0,a co-polymer with sequence A B A A B A B A A A B B A A B A B B B B
199,A B B B B A B B A B B B B B B B A B A B,7.625767,0,a co-polymer with sequence A B B B B A B B A B B B B B B B A B A B
200,B B A A A B A A B B B B B B A B B B B B,8.096912966666666,0,a co-polymer with sequence B B A A A B A A B B B B B B A B B B B B
201,A A B A A B A A A A A A A A A A B A A A,8.598153166666668,1,a co-polymer with sequence A A B A A B A A A A A A A A A A B A A A
202,B B B B A A B B B A A B A B A B A B A B,7.964158833333336,0,a co-polymer with sequence B B B B A A B B B A A B A B A B A B A B
203,B B A B B B B B B A B B B B B B B B B A,7.568224966666667,0,a co-polymer with sequence B B A B B B B B B A B B B B B B B B B A
204,A A A B B A A A B B A A B A B A B B A A,8.359753066666666,1,a co-polymer with sequence A A A B B A A A B B A A B A B A B B A A
205,B A B B A A A A A A B B A A B A A B B A,8.260720466666665,1,a co-polymer with sequence B A B B A A A A A A B B A A B A A B B A
206,B B B B B B A A B B A B B B A B B B A B,8.015146333333336,0,a co-polymer with sequence B B B B B B A A B B A B B B A B B B A B
207,B A A A B A B B A B A B B A A B A B A B,7.794686666666667,0,a co-polymer with sequence B A A A B A B B A B A B B A A B A B A B
208,B A B B B B A B A A B A B A A B B B B B,8.160279199999996,0,a co-polymer with sequence B A B B B B A B A A B A B A A B B B B B
209,A B A A A A B A B A A A A A A A A A A A,8.519475133333332,1,a co-polymer with sequence A B A A A A B A B A A A A A A A A A A A
210,B B B B A B A B B A A B B B B B B B B B,7.951634599999998,0,a co-polymer with sequence B B B B A B A B B A A B B B B B B B B B
211,A A A B A B B A A A B A B B A B A B A A,8.186210166666665,0,a co-polymer with sequence A A A B A B B A A A B A B B A B A B A A
212,A A A A B A A A A B B A A A B A A A A A,8.478576833333333,1,a co-polymer with sequence A A A A B A A A A B B A A A B A A A A A
213,A A B B A B B A A A A A A A A A A A B A,8.777806800000002,1,a co-polymer with sequence A A B B A B B A A A A A A A A A A A B A
214,B B B B B B A A B B B B B A B B A B A B,7.824000999999997,0,a co-polymer with sequence B B B B B B A A B B B B B A B B A B A B
215,A B A A B A A A A A A A B A B A A B A A,8.2122799,1,a co-polymer with sequence A B A A B A A A A A A A B A B A A B A A
216,B A B A A A B B B A A A B A B A B A B A,8.156253933333335,0,a co-polymer with sequence B A B A A A B B B A A A B A B A B A B A
217,A A B A A A B B A A A B A A B B B A B A,8.175382933333337,0,a co-polymer with sequence A A B A A A B B A A A B A A B B B A B A
