sequence,E_adh
A A A A B A B A A A A A A A A B A A A B,8.296757533333334
B B B A B B B A B B B B B B B B B A B B,7.586129333333336
A A A A A A A A A A A A A A A A A A A B,8.700644633333333
A B B A A A A A A B B A A A A A A A A A,8.722330766666666
B B B A A B B A B B B B A B A B A B A A,8.031675166666666
B B B B B A B A A B A B B A B A B B A A,8.033731800000002
A B A B A A A B B B A B B A A B A B B A,8.047085800000001
B B B B B B B A B B A A B B B B B A B B,7.728590966666667
B B A A B A A B B B B A A A A B B A B B,8.201703266666668
A A B A B B A B B B B A B B B B B B B B,8.104769166666667
A A A B A A B B A B B B B B B B B B A B,8.084952033333332
B B B A A A A B B B B B B A B B A A A B,8.276586733333332
B B B B B B A A B B B A B A B B B B B B,7.772933266666664
A A B B A A B A B A B A A B B A B A A B,7.906494766666666
B A B A A B B A A B B A B A B B B B B A,8.100584300000005
B B A A A B B B B A A B B A B B B B A A,8.362174066666665
A A A A A B B B B A A B A A A A B A A A,8.659405799999998
A A A B A A A A A B B B A A A A A A B B,8.726103400000001
A A B A A B A A B A A A A A A A A B A A,8.215839400000004
A A A B A B B A B B A B A B B B A B B A,8.152605466666666
B A A A A A A A A B B A A B A A B A B A,8.4424438
A A A A B B A A B B B A A B A A B A B B,8.330625
A B A A A A A A A A A A A A A A A A A B,8.424782099999998
A B B B B B B A B B B B B B B B B B A B,7.859644766666664
A A A A A B A A A B A A A A A B B B A B,8.766169133333333
B B B A B B A B B B A B A B B B B B B B,7.685670633333334
A A A A A B A B B B A A B B B B B B B B,8.451197199999998
A A B B B B A A B A A A B A A A A B A B,8.206820000000002
B B A B A A B B A B A A A A B B A B B B,8.068717033333336
B B A A A A A A B B A A B A B B A A A A,8.705465100000001
B B A B B B A A B B B B B A A B B B A A,8.188321799999997
B B A B A B A A B A A A A B B A B B B A,8.114832066666665
A A A A A A A A A B A B A A A A A B A A,8.494219466666664
B B B B B A A A A B A B B A A B B B B A,8.365610533333335
A A A A A B A A B A A B A B A B B A B A,7.990956500000001
A B B B A A A B B B B A B B B B B B B B,8.174434766666668
B A A B B B B B A A B B B B B A B A B B,7.950963600000003
A A A A A B A A A A A B B B A B A A A A,8.686537333333336
B B A A A A A A A B A A A A A B A B A B,8.281617633333333
B B B B A A B B B A B B B B B B B B B B,7.800239333333332
A B B A B A B A B B B B B B A B A B A A,7.787558633333333
B B A B A A A A A A A A A A A A A A A A,8.947565700000004
A A A A A A A A A B B B A B B B B B A A,8.919976866666666
B A A A A A B B A B A A A A B A A A A A,8.523147066666667
A A B B A A A A A A A A A A A B A A A A,8.710631599999997
A A B A A B A B B A A A A A A A B A A B,8.301554700000002
A A A A B B B B B A A A A B A B B B A B,8.477665333333332
A A A A B B B B B A A A A B A B A A A A,8.748587400000002
B A A B A A A A B B B B A B B B A A B B,8.290048800000001
A A B A A A B A A B A B A A A A A A A B,8.235539333333337
B B B B B A B A B B B B A A B B B B B B,7.9161225333333345
A A A A B A A A A B A A A A B B B A A A,8.6091947
A A A A A A A A A B A A B B A A B A A A,8.409237366666666
B B B A B A B B A A B B B A B B B A B B,7.884417233333332
B B B B B A B B B B A B A B A B B A B B,7.795746299999998
B A A A A A B A A A A A A A B A B B B A,8.54716386666667
B A B A A B A B B B A A B A B A A A B B,7.850888399999997
B B B B B A A B B A B B B B B B B B A B,7.835334066666668
B B B B B B B B B A B B B A A B B A A B,8.002137266666669
B B B B B B B B A B B B B B B B B A B A,7.810970933333332
B B A A A A B A B A A A A B A B A B B A,8.166606833333331
A A A A B A B A A A A A A B A A A A B A,8.235317233333333
B B B B B B A B B A B B B B B B A A B A,7.867899333333332
B B B B B B B A B A B A B B A A A A A A,8.622037433333333
A A B A B A A A B A B A B B A B B B B B,8.152497633333335
A A A B B A A A B B A A B B A A A B A B,8.368864800000004
A A A A B B A B A B B B A A B A A A A A,8.331516500000001
B A B A A B B A A A A A A A B A A B B A,8.156757766666669
A B B B A A B B B B B B B B B A B B B A,7.861532833333335
A A A B B A A B B A B B A B A B B A B B,7.885286399999998
A A A A A A A B B A A A B A A A A A B A,8.316382800000001
A B A A B A A A B A B B A A A A A B B B,8.132027066666668
B A A B A A B A A B B A A B B A A B B A,8.029068299999999
A A B A B A B B B B B B B A B B B B B A,7.889390033333337
A A A B A A B A A A A A A A A B A A B B,8.304485733333332
A B A B A A A A A A B A A A A B A B A B,8.164404166666664
A A A A A B B B B B B B B B B B A A A A,8.8979749
A B A A A A A A A A A B B B A A A A A A,8.806242733333333
B B A B A B B A A B A A B A A A B B A A,8.0200986
B B B B B B B A B A A B B B B B B A B A,7.957613933333331
A A A B A A A A A A B A A A A A A A A A,8.2575291
B B B A B B B A B B A B B A B B A B B B,7.686608533333329
A A A A A B B B A A A A A A B A A A A A,8.527423266666666
B A B B B B A B A B A B B B A B B A B A,7.68581023333333
B A B B B A B A A A B B A B A A B A B A,7.891187833333332
B B B A A A B B B B B B A B B B A B B B,8.003775033333335
B A A A B B B B B B A B B A B B B B B A,8.131467099999998
B A A A A B B A B B A B B A B A A B A B,8.006877433333337
A A A A A A A A A B A B A B A A A B A A,8.630271433333334
A A A A B A A A A B A B A A A B A A A A,8.617698233333332
A A B A A B B B A A A B B A B A A B A A,8.152187333333332
A A A A A A A B A A A A A B B B A B A A,8.691876166666665
B B A A A A B A A B A A B A A A A B B B,8.350479100000001
A A B A B B B B A B A A B B B A A A A B,8.492636133333331
B B B B B A B B A A A B A A B B A B B B,8.058795266666666
B B A B B B B B B B B B B A A B B A B A,7.9462723666666655
B B B B B B A B B B B B B A B B B B B B,7.565260833333333
B A B B A A A A A B B B A B B B B A A B,8.2352393
A B B B B A A B A A B B B A A B B B A B,8.08794433333333
A A A A A A B B A B A B A A A A A B A A,8.6130064
B A A A A B A A B A A A B B B A A A B A,8.333493233333334
B B B B B B B B B B B A B A B A B A B B,7.802616533333335
B B B A B B B A B B B B B B A A A B B B,8.003775033333335
A A B A A A A A A A A A A A A B A A B A,8.600579666666668
A B A B A A A B B B B B A A A A B B B A,8.504298666666669
A B B B A B A B A B B B B A B A B A A B,7.711684199999999
B A A A B A B B A B B A A A A A B B B B,8.474526199999998
B B A B B A B B B B A B B A B B A A B B,7.735015066666662
B A B B B B B B B B A B A B B A B B A B,7.699122633333333
A B A B B B B B B B A B A B B A A A B B,8.305548933333332
B B A B B A A B B B B B B B B B B A B B,7.846691099999999
B B A A A A A A A B B B A A A A A B A A,8.557947966666667
B A A A A A B A A A B A A A B A A A A B,8.352337433333332
B A A A A B B B A B A B B A A B B B A A,8.3632773
A B B B B B B A A A B B B B B A B A B B,7.957166733333333
B B B B A B B B B B B B B B B B B A B A,7.958796999999999
A B A B B B A B B B B B B B B B B A B B,7.876483633333336
B A A B B A A B A B B B A B A B A A A B,8.04890693333333
A B A A A A A A A A A A A B A A B A B A,8.648777833333336
B A A A B A B B B B B B B B B B A B B B,7.898833533333335
A B B A B A B B A B A B B B B B A A B A,7.857572299999996
A A A B A A A A A B A A A A A A A A B A,8.500508733333334
B B A A B A A B A A A B B A A B A A B A,8.132164466666671
B A B B B B A B B B B B A B B A B A B B,7.506073266666666
A A A A A A A B A B A B A B A A A A A A,8.492332466666664
B B B A B A B A A A B A A B B A A B B B,8.0157623
A A A B B A B A A A A B B B B B A B B A,8.481708900000001
A A A A A A A A A A A A A A A B A B A A,8.5061146
B A A B A A B A B B B A A B B A A A A B,8.114925166666666
B A B B A A A B B B A B B B B B A B B B,8.044872466666666
A B B A B A A A B B B A B A A B B B A A,8.32009966666667
A A A A A A A A A B A B A A A A B A B A,8.338080633333332
A B A A A A A B B B A A B B A A A A B A,8.490440166666664
A B A A B A B A A A B B A A B A B B B B,8.0873021
A B B B B A B B A B B B B B B B A B A B,7.625767
B B A A A B A A B B B B B B A B B B B B,8.096912966666666
A A B A A B A A A A A A A A A A B A A A,8.598153166666668
B B B B A A B B B A A B A B A B A B A B,7.964158833333336
B B A B B B B B B A B B B B B B B B B A,7.568224966666667
A A A B B A A A B B A A B A B A B B A A,8.359753066666666
B A B B A A A A A A B B A A B A A B B A,8.260720466666665
B B B B B B A A B B A B B B A B B B A B,8.015146333333336
B A A A B A B B A B A B B A A B A B A B,7.794686666666667
B A B B B B A B A A B A B A A B B B B B,8.160279199999996
A B A A A A B A B A A A A A A A A A A A,8.519475133333332
B B B B A B A B B A A B B B B B B B B B,7.951634599999998
A A A B A B B A A A B A B B A B A B A A,8.186210166666665
A A A A B A A A A B B A A A B A A A A A,8.478576833333333
A A B B A B B A A A A A A A A A A A B A,8.777806800000002
B B B B B B A A B B B B B A B B A B A B,7.824000999999997
A B A A B A A A A A A A B A B A A B A A,8.2122799
B A B A A A B B B A A A B A B A B A B A,8.156253933333335
A A B A A A B B A A A B A A B B B A B A,8.175382933333337
A A B A B B A B B B B B B B B B B A B A,8.134297333333334
B A B B A B B B B B B B B A B B B B A B,7.701645933333335
B A A B B B B B B B A B B A B B B A B B,7.884431466666667
B B B B B A B B B B B B A B B B A B B B,7.704369499999997
B B A B B B A A B A B B B B A B B B A B,7.822719399999997
B B A A A B B A B A B A B B A B B B B A,7.877883066666662
A B B B B B B B A B A B A B B B A B B B,7.602084700000002
A B A A A B A B A B A A B B A A B A B A,8.004668166666667
B B B B B B B A B A B A A B A A B B A A,8.161328000000001
B B B B B A B A A A B A A B B B A B B B,8.121857433333334
B B A A B B A A A A A B B B A A A A A A,8.806783666666668
A A A A A A A B A A A A B B A A A B A B,8.69139356666667
B A A A B B B A B A A A B B B B A B B B,8.176567433333334
A B B A B A A B A A B A A B A A A A B B,8.1677253
A A B B B A A A A A B B A A A A A A A A,8.8294786
B B B B B B B B A B B B A A B A B A B A,8.092706166666664
A B A B A B B B B A A A B B A A B A B B,8.0270987
A B B A A A A B B B B A A B A B A A A B,8.346114666666665
A A B B B B B B B B A B B B B B B B B B,7.887719833333334
A A B B A B A A B A A B A A A A A B A A,8.273709266666668
A B B B A A A B A A B B B B B B A A B B,8.290203033333333
A A A B A A B A B B A A A A B A B A A B,8.182808699999997
A B B A B B A B A A B B B B B A B A A A,8.030230366666666
A A B A B A B A B A A A A B A A B A B A,7.964778866666665
A A A B A B B B B A A A A A A A A A A A,8.884143300000002
B B A A A B B B A A B B B B B B B A B B,8.475073366666665
A B B B B A B B A B B B B B B B B A B A,7.801464299999999
A A B B B A B B B A B B B B A A B B B B,8.108354566666668
A B B B B A A B A B B B A B A B A B A A,8.091297233333334
B B B B B B B B A B A A B B B A B B B B,7.835247533333332
B A B B B B B B A B B B A B B B B B A A,7.736750333333335
B B A A A A B B B A A B B B A B A B B A,8.352049666666668
A A A B B A B A B B A B B A B B A A A B,8.158683733333332
B A A B B B B B B B B A A A B B A A A B,8.4373543
B A B A A A B A A A B A A B B B B A A A,8.423221666666668
A B A A B B B B A A A A A A A A B A A A,8.876299033333334
A A B A A B A A A B A A A B B A A A B A,8.251467499999999
A A B A B A B A A A A A A A A A B B A B,8.46586663333333
B A A B B B B B B B B B B A B B A B B B,7.834815233333336
B B B B B B B B B A B A B B B A B B B B,7.831756033333331
A B B B B B B B B B B B B B B A B B B A,7.824279366666666
A B A B B A B A B A B A B B A A B A B B,7.627654366666666
B B B B B A B B B B B B B B A A B B A A,7.960629599999999
B B A B A B B A B B B B A A A B B B A A,8.274991033333333
A A B A A A A A B A A A A A A A A B A A,8.482568100000002
A B B A A B B B B B A B A B A B B B A B,7.888523633333333
B B B B A B B B B A B B B B B B B B A B,7.7311108000000015
A B B B B A B A B A B B A B B B B A B B,7.638193933333335
B B B B B B A B B B B A A B B B A B B A,7.782833366666665
A A B A A B A A A A A B A A A A A A A B,8.261533899999998
A A A A A A A B A A A B A B A A A A A A,8.717445733333333
A B B B B B A B B A A B B A B A B B B B,7.805885100000003
A A A B B A B B A A A A A A B A A A B A,8.664550299999997
B A A A B A A A A B A A A A A A B A A B,8.221333366666666
A B B A B B B A A B B B B A B B B B B B,7.782833366666665
A A A B A B B A A A B A B A A B B A A A,8.316167599999998
B B B B B B A B A B B B B B A B A B B A,7.9021028
B B A A B B B B A B B B B B B B A B A B,7.857007366666664
A B B A B A A A B B A B B A A A B B B A,8.302078266666667
A B A B A A B B B B B B B A A B B B B B,8.0140546
A B B B A B B B B B A B B A B B B A B B,7.658993933333333
A A A A A B B B A A A B A B B A B A A A,8.602385599999998
A A A A A A A A A B A A A A A A A A B A,8.482634766666665
A B B B B A B A B B B B B B B B A A B A,8.065451833333336
A A A A A A B A A A A A A A A A A A A A,8.674315466666664
A A B A A A A A B A A B A A A B B A B A,8.3565855
B B A A A B B B B B B B B A B B A A B A,8.101590166666663
A A A A B A A A B A B B B A B A A B A B,8.437347933333333
A B A B B A B B B B B B B B B B B B A A,8.104639933333333
B B A B A A B B B A A B A A A A B A B B,8.332348333333332
B B A B A A A B B A A A A A B B B A B B,8.477098566666667
B A A A B A A B B A A A B A A A B B A A,8.116303266666668
B B A B B A B A B A A B B B A A B A A A,8.209917933333333
B B B B B B B B B B B B B A B B B B A A,7.837302033333335
A A B A A A A A A B A A B A A A B A A A,8.116914733333331
A A B B A A A A A A B A A A A B A B A A,8.227157766666664
A B B B A A B A B A A A B A A B A B A B,7.914411133333331
A B A B B B B B B B B A A B A B B B B B,8.086538733333333
B B B B B A B B A B B B B B B B B A B B,7.907424499999999
B A A A B B B B B B B A A B A B A A A A,8.561881933333332
A B A A B A A A B A A A A A A B A B B B,8.489233266666666
B A B A A A B A B A A B A B A B B B A B,7.900151966666668
A A B B A A A B B B B A B B A B A B A A,8.0889677
A B B B B B B B A B A A B B B B B A B B,8.001174500000001
A B B A B B B B B A B B A B B A A B A B,7.824386333333335
B A A A A B A B A A B A A A A B A B A A,8.1049066
B B B B B A B A B B B B B A A B B B B B,7.919860600000002
B B B B B A B A A B B A B B B B B A B B,7.965230233333333
A A A A A A A A B A A A A B B A A A A B,8.8513371
A A A A A A A B A A A A A B B A B A A A,8.8668247
B B A B B A B A A A B B B A B B B A B B,8.167156
A A B B B B B B B A B A A B A B B B B A,8.081382500000002
B A A A A B B B B B A B B B A A B A B B,8.30760256666667
A A B A A A A B A B B A B B A A A A A A,8.3401129
A A A A A B B A B A B A A B B A A A B A,8.422241766666668
A A B A A A A A B A B A A A B A B B A A,8.366148766666667
A A A B A B A B B B A B B B B A B A B B,8.027990900000002
B A A B A B A B A A A A B B B A B A B B,7.928101933333332
A B A B B A B B A B B B B A B B A B B B,7.690494399999999
B A B A A B B B A A B A A B A A A B A A,8.308043533333334
A B B B A A A B A A A A B B A A B A A A,8.417345766666667
B B B B B B B A B B A B B B A B B A B B,7.689462033333335
B A A A B B B B A A A B B B B A A B A A,8.405252166666665
B B B B B B A A B B B B B B B A A B B A,8.219949666666665
A B A B A A A A B A A A A B A A B A B A,8.104638000000003
B B A B B B A B B B B B A A B B B B B A,7.823871
A B B A A B B A A B B A A B A A B A B A,8.085258333333334
B B B A A B B A B B A A B B A B A A B B,7.993728366666666
A A A A B A A A B A A A B A B B B B B A,8.704960066666667
B B A B B B B A B A B B A A B B A B B B,7.666395700000001
B A A A A B A A A B A A A A A A A A B A,8.343093266666669
B B B B B B B A B B B B B B B B A A B B,7.986114333333335
A B A A A A B A A A A A A A B A A B A B,8.376011333333334
A A A B A A B B A A B B A B A B B A A B,8.190184333333333
B B A A B A B B B A B B A B B B B B B B,7.898188333333335
A A A B A B A A A A A A A B A A B A B B,8.386006800000004
A A A A A A A A A A B A A A A B A B B A,8.639336666666667
B B A A B B B B B B B A B A B A B A B B,7.697961200000002
A A B A A B A A A A A A A A A A A A A A,8.433835400000003
A A B B A B B A B B B A B B B A A A B B,8.097642100000003
B A B A B A A A A A A B B A A A A A A B,8.544787266666667
B A B A B B A A A B A B A B A A A B A A,8.0306807
A A A B B B B A A A B B B A B A B B B B,8.312365799999998
A A A A A B A A B A B A A A B A A A B B,8.421414100000002
B A A B B B B B B B B A A B B B B B B A,8.1068624
A A A A A A A B B B B A A A A A A A B A,8.78493313333333
B B A B B B B A B B A B B B B A B B B B,7.630024266666668
B B B B B A A B B B A B B B B B B B B B,8.022665233333333
A B A B B A B B B A A B A B B B A A A B,8.195871433333338
B A B B B A B B B B B A B B B B A A A B,7.791741033333334
B B B B A A B B B B B A A B B A A B B B,8.115765066666667
A B B B B B A B A B B B B B A A A B B B,8.046269200000003
A A A B A B B A B A A A B B B B B A B B,8.374817366666665
A B A B A A B B A B B A B B B B B B B B,7.9507040000000035
A B A A B B A A A B B B A B A A A A B B,8.447239533333335
B B A B A B A B A A B B B B B A B B B A,7.891071300000005
B B A B B B A A A A A A A B B A A B A B,8.497798133333335
A A B A A A B A A A A A A B A A A A B A,8.204065366666667
B A B B B B B B B B B B B B B A B B A A,7.789063733333336
A B A A A A A B A A A A A A A A A A A A,8.300547866666667
B A A A A A A B A A B A B A A B B B B A,8.3254161
A B A A A B B A A B A B A A A B A A B A,8.0386509
A A B A A B B A A A B A A B A A A B B A,8.311728700000002
A A A A A B A A B A A A A A A A B B A A,8.359363266666668
A A B A B B A B A B A A B B A A A A A A,8.294794800000002
A A B B A B A A A A A A B A B A A A A B,8.5296345
A A A A B A A A A B A A A B A A A A A A,8.204328199999999
A A B B B A A B B A A B A B B B B B B A,8.1279802
A B B A B B B B B B B B B A A A A B A B,8.193362466666668
A A A B A B A A A A A A A B B A A A A A,8.436973600000002
B B A A A B B B B B B B B A B B B B B B,8.148125133333334
A A A B B A A B A B A B A B A B A A A A,8.320908533333336
A A B B B B B B B B B B A B A B A B A B,8.009004466666667
A A A B A B A A A B A A A A B B B B B A,8.6673923
B A B B B A B B B A A B B B B B B A B A,7.938721366666668
A A A A A A A A A B A A A A B B A A A A,8.708869700000001
B B B B B B B A B B A B A A A B A A B B,8.224259833333333
A B A A B A A B A B A B B B A B B B B A,7.923882533333334
A A A A B B A B A A A A B B B A B A B B,8.353486300000002
A B A A A A A B B B B A A A A B A B A A,8.590066766666668
A A A A A B B A B A A B B B B A B B A B,8.444590366666667
A B A A A A B B B A B B B B B A A A B B,8.443602166666668
B B A A A A A A A B A B B A B A B B A A,8.275562099999998
B A B A B A A A B B B B B B B B B B B B,8.174404000000003
B A A A B A B A A A A B A B B B A A A B,8.627010299999998
B B B A A A A A B B A B A A A B A A B A,8.132027066666668
B B B A A B A B B B B B A B B A B B B B,7.762140333333333
B B B B B B A A B B B A B B B B B A B A,8.037521600000002
B A A B A B B B A B B B B A B B A B B A,7.73263073333333
A B B A B B B B A B B B A A B B A A B A,8.006902300000002
A A A A A B A A A A A A A A A B A A B A,8.63668196666667
A B A B B A A B A A A A B B B A A A A A,8.5710219
A B A A A A B A A A B A B A B A A A A A,8.328033200000002
A A B A A B B A B A A A A B B A A B B A,8.236781233333334
B A A A A A A A A A A A A B A A A A A B,8.452702166666667
A A B B A B B B B B A A B B B B A B B A,8.104861733333331
B A B A A A B A A A B A B A A A A B B A,8.290766733333335
B B B A B B A B A A B B A B B B B B B B,7.937852899999997
A A A A A A A A A A A A A B B A B A A A,8.750983833333333
B B A A B B B B A B B B B A B B B B B A,7.958892233333335
A A A A B A B A B A B A B A A B B A A A,8.320908533333336
A A B A A B A A A A B A A A A A A A A B,8.4968733
A B B A B A B A A B A A A A A A A B A A,8.108528766666662
B A B A A A A B B B A A A A B A A B A A,8.3576534
A B B A A B B A A A B B B A A A A A A A,8.7069587
A B A A A B A B A B A B A A A B A A A B,7.826387799999997
B A B A B B A A B A B A A B B B A B B B,8.114498099999999
B A A A B A B B A B B A B B B B A B A A,8.245628533333333
A B B B B B B B B A B A B B B B B B A A,7.811034500000003
A B A A B A B A A A B A A A A A A A A B,8.317087666666666
B B B B B A B B B A B B B B B B B A B B,7.819926033333337
B A A A A B A A B A A A A B A B A A A B,8.358808766666668
B B A A B B A B B B A B B B B B A A B B,8.060782199999998
B B B B B B B B B B B A B B B A B B A B,7.651373766666666
B A A A B A B A A A B B A B B A A A A A,8.578937699999999
B B A A B B A B B A B B B A B A A A A B,8.408594766666663
A A A B A A A A B A A A A A A A A A B B,8.521600533333336
A B B B B B A B A A B A B B B A A B B B,8.048003733333339
A B A A A A A A A B A A A B A B A A A A,8.360743699999999
A B B A B B A A B A B A A B B A A A A A,8.2846552
B B A B B B B A B B B B B B B B B B B A,7.784687166666666
B A B A B A B B A A B B B B B B A B B B,7.937425266666667
B B B B B B B B B B A B B B A B B A A B,7.900680333333332
A B B A A A A A A A A A A A B A A A A A,8.713770966666663
B B A B B B B B B B A B B B B B B B B A,7.692595000000001
A A A A B A A A B A A B A A A B A A A B,8.350133399999997
B B B B A B B B A B B B A A B A A A B B,8.239119933333335
A B A B B A A A A A B A A B A B B B A A,8.256503166666665
B B B B B B A B B A B B B A A B B B B B,7.749592466666666
B A B A B A B A B B A B A A B A B A A B,7.744277899999998
B B B B B B B B B B A A A A A A B A B B,8.578412566666666
B B B A A B B B A A A B B B B B B B B B,8.115023933333331
A A B A A B A B A A B A A A A A A A A B,8.500775433333333
B B B B B B B B B B A B B B A B B B A A,7.906025133333333
B A B B A B B B B B B A B B B B B B B B,7.831189966666669
B B A A B B A A B A A A A A B A A A A A,8.584895333333334
A A B B B B B B B A A B B A B A A A A A,8.787364533333333
A A B A B A B B B B B B A B A B B B B B,8.069809666666668
B B B B A A A B B A B B A B B A B B B B,7.796294733333333
B B B B A B A B A A A A B A A A B B B B,8.197350666666667
A A A A B B B A A A B A A A A B B B B B,8.671682066666667
B B B A B B A B B B B B A B B B B A B A,7.79865896666667
A B B B B B B B B B B B A A B B B A B B,7.840237699999999
B A A B B B A A A B A B A A A A B A A A,8.4849839
B B B B A A B A B A A A B A A B A B A A,8.398003666666666
B A B A A A A A B B B A B B B B B B A B,8.41353443333333
A A A B A A B A A B B B A A B B A A A B,8.189803833333336
A A A A A A B A A B B B A A A A A A A A,8.687958099999998
A A A A B A B B B B A A B B B A B B B A,8.350587566666666
A A A A A A A A A A B A A B A B B A A A,8.6492204
A B A A B A A B A A A A A B A A B B A A,8.281588200000002
B A B A B A A B B B A B B B B A A A B A,8.170507866666666
B B B B A B B B B B A B A B B B A A A B,8.206719733333333
B B A A B A A B A B B B A B A A B A B A,7.927864899999999
A A A A A A B A B B A A A B A A A A B B,8.522425599999996
B B B B B B A B B B B A A B B B A B B B,7.931907733333331
A A B B A A A B B A A A A A A A A A A B,8.561757466666664
B A B A B A B A B A B A B A B A B A B A,7.406462200000002
A A A A B A B B A B A A A A B B A B A A,8.488163566666667
A A B A B B A A B B B A A A B A A B A B,8.0914023
A A A A B B A A A B A A A B A A B A B A,8.259757466666667
A B B B B B B B A B B B A B A A B A B A,8.110043633333332
B B B B A A B B B B B B A B A B B B A B,8.114552666666668
A B B A A A A A A B A B B A B A B A B B,8.222687400000002
B A B B B B B B A A A A B A A B A A A A,8.494972933333331
A B B A B A B A A A B A A A A A A A A A,8.455205533333334
A A B A B A B A B A A A A A B A A B B B,8.1577783
B B A A B A B B B B A A A B B B B B A A,8.328090733333331
B A B A B B B B B B B B B B A B A B B B,7.738408333333332
A A A A B A A B B B B B A B A A A B B B,8.64543603333333
B A A A A B B A B A A A A A B B B B B B,8.763213999999996
A A A B B A A A B B B A B B A B B A B A,8.314275866666666
B A A A B A B B A A B A B B B B B B A B,8.077722600000005
B B B A B B A B B A B A B A B A A B B B,7.714553733333334
B B B B B B B B B B A B B B B A B B B B,7.701304666666665
B B B A B A B B B B A B B B B B A B B B,7.736706300000002
B A A B B B A B B B A B B B B A B A B A,7.7883368
A A B A A A A A A A A A B B B A A A A A,8.577530233333333
A B B B A A B B B B A B B B B B B A B A,8.000119666666668
A B B A B B A B B B B A A B B B A B B B,7.609963600000006
B B B B B B B B A B A B B B A B B A B A,7.798136433333335
A A A B A B B A B A A B A B B B B A A A,8.394235233333335
A B A A A A A B B A B A A B A B B B A B,7.938941966666666
A A B A B A A A A B B B A A B A B A A B,8.208038899999998
A B A A A A A A B A A B A A A A A A B A,8.4273388
A A A A B A A A A A A A A A A A B B A A,8.710631599999997
B A B A A B A A B A B B A A A A A A B A,8.011943366666666
