scattering_pattern,structure_type,num_atoms,num_atoms_2bins_5050,num_atoms_4bins,num_atoms_10bins,structure_type_cat
[ 0.    -0.022 -0.04  -0.059 -0.08  -0.099 -0.114 -0.131 -0.15  -0.163 -0.172 -0.187 -0.201 -0.203 -0.203 -0.033  0.717  0.064  0.607  0.685 -0.173 -0.221 -0.203 -0.194 -0.195 -0.091  0.64   0.186 -0.143 -0.141 -0.129 -0.078  0.126 -0.021 -0.079 -0.069 -0.059 -0.048 -0.038 -0.029 -0.021 -0.013 -0.006  0.     0.005  0.01   0.013  0.016  0.018  0.019  0.02   0.02   0.02   0.019  0.018  0.016  0.014  0.012  0.01   0.007  0.005  0.003  0.001 -0.002 -0.003 -0.005 -0.006 -0.008 -0.008 -0.009 -0.01  -0.01  -0.009 -0.009 -0.009 -0.008 -0.007 -0.006 -0.005 -0.004 -0.003 -0.002 -0.     0.001  0.002  0.003  0.004  0.004  0.005  0.005  0.006  0.006  0.006  0.006  0.005  0.005  0.005  0.004  0.003  0.003  0.002  0.001  0.001 -0.    -0.001 -0.001 -0.002 -0.002 -0.003 -0.003 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.003 -0.003 -0.003 -0.002 -0.002 -0.001 -0.001 -0.     0.     0.001  0.001  0.001  0.002  0.002  0.002  0.003  0.003  0.003],BCC,9,0,0,0,0
[ 0.    -0.026 -0.05  -0.074 -0.1   -0.122 -0.142 -0.163 -0.183 -0.197 -0.211 -0.225 -0.152  0.618  0.29   0.83   0.405 -0.228 -0.253 -0.248 -0.219  0.223  0.547 -0.142 -0.193 -0.167 -0.008  0.033 -0.119 -0.113 -0.098 -0.081 -0.066 -0.051 -0.037 -0.024 -0.012 -0.001  0.009  0.018  0.024  0.03   0.035  0.038  0.04   0.041  0.041  0.04   0.037  0.035  0.031  0.027  0.023  0.018  0.013  0.008  0.003 -0.002 -0.006 -0.01 -0.014 -0.017 -0.02  -0.022 -0.023 -0.024 -0.024 -0.024 -0.023 -0.022 -0.02  -0.018 -0.016 -0.013 -0.01  -0.007 -0.004 -0.001  0.002  0.005  0.008  0.01   0.012  0.014  0.015  0.016  0.017  0.017  0.017  0.016  0.015  0.014  0.013  0.011  0.009  0.007  0.005  0.003  0.001 -0.001 -0.004 -0.005 -0.007 -0.009 -0.01  -0.011 -0.012 -0.012 -0.013 -0.012 -0.012 -0.012 -0.011 -0.01  -0.008 -0.007 -0.005 -0.004 -0.002 -0.001  0.001  0.002  0.004  0.005  0.006  0.007  0.008  0.009  0.009  0.009  0.01   0.009  0.009  0.008],BCC,9,0,0,0,0
[ 0.    -0.024 -0.045 -0.067 -0.09  -0.112 -0.129 -0.147 -0.167 -0.182 -0.192 -0.207 -0.222 -0.215  0.17   0.665  0.086  0.995  0.113 -0.224 -0.232 -0.223 -0.209 -0.078  0.654  0.111 -0.157 -0.159 -0.142  0.024  0.068 -0.094 -0.09  -0.071 -0.06  -0.051 -0.037 -0.023 -0.017 -0.009  0.003  0.009  0.012  0.019  0.024  0.025  0.026  0.029  0.029  0.026  0.026  0.026  0.022  0.018  0.017  0.014  0.008  0.006  0.004 -0.001 -0.004 -0.006 -0.008 -0.012 -0.013 -0.013 -0.015 -0.016 -0.015 -0.015 -0.016 -0.014 -0.012 -0.011 -0.01  -0.007 -0.005 -0.005 -0.002  0.001  0.002  0.003  0.005  0.007  0.007  0.009  0.01   0.01   0.01   0.011  0.011  0.009  0.009  0.009  0.007  0.006  0.005  0.004  0.002  0.001  0.    -0.002 -0.003 -0.004 -0.005 -0.006 -0.007 -0.007 -0.007 -0.008 -0.007 -0.007 -0.007 -0.007 -0.006 -0.005 -0.005 -0.003 -0.002 -0.002 -0.001  0.001  0.001  0.002  0.003  0.004  0.004  0.005  0.006  0.006  0.005  0.006  0.006  0.005],BCC,9,0,0,0,0
[ 0.    -0.022 -0.047 -0.069 -0.09  -0.112 -0.133 -0.149 -0.167 -0.185 -0.196 -0.206 -0.222 -0.215  0.277  0.595  0.167  0.99  -0.006 -0.226 -0.232 -0.227 -0.205  0.031  0.674 -0.017 -0.161 -0.154 -0.131  0.074  0.014 -0.096 -0.09  -0.071 -0.057 -0.048 -0.036 -0.022 -0.014 -0.007  0.004  0.011  0.014  0.02   0.025  0.027  0.027  0.03   0.03   0.027  0.026  0.026  0.022  0.018  0.016  0.013  0.008  0.005  0.003 -0.001 -0.005 -0.007 -0.009 -0.012 -0.014 -0.014 -0.016 -0.017 -0.016 -0.015 -0.016 -0.015 -0.012 -0.011 -0.01  -0.008 -0.005 -0.004 -0.002  0.001  0.002  0.003  0.006  0.008  0.008  0.009  0.011  0.011  0.01   0.011  0.011  0.01   0.009  0.009  0.008  0.006  0.005  0.004  0.002  0. -0.    -0.002 -0.004 -0.004 -0.005 -0.006 -0.007 -0.007 -0.008 -0.008 -0.008 -0.007 -0.008 -0.007 -0.006 -0.005 -0.005 -0.004 -0.002 -0.002 -0.001  0.001  0.002  0.002  0.003  0.004  0.005  0.005  0.006  0.006  0.006  0.006  0.006  0.005],BCC,9,0,0,0,0
[ 0.    -0.025 -0.048 -0.071 -0.095 -0.117 -0.136 -0.157 -0.175 -0.19 -0.205 -0.217 -0.223 -0.065  0.71   0.144  0.893  0.332 -0.228 -0.247 -0.233 -0.216 -0.02   0.67   0.009 -0.172 -0.166 -0.126  0.091 -0.032 -0.105 -0.094 -0.077 -0.063 -0.051 -0.037 -0.024 -0.014 -0.005  0.005  0.013  0.018  0.024  0.029  0.031  0.033  0.034  0.034  0.033  0.031  0.029  0.026  0.022  0.019  0.015  0.011  0.007  0.003 -0.001 -0.005 -0.008 -0.011 -0.014 -0.016 -0.018 -0.019 -0.02  -0.02  -0.019 -0.019 -0.018 -0.016 -0.014 -0.012 -0.01  -0.008 -0.005 -0.003 -0.     0.002  0.004  0.007  0.008  0.01   0.011  0.012  0.013  0.013  0.013  0.013  0.013  0.012  0.011  0.01   0.008  0.007  0.005  0.003  0.002 -0. -0.002 -0.003 -0.005 -0.006 -0.007 -0.008 -0.009 -0.01  -0.01  -0.01 -0.01  -0.009 -0.009 -0.008 -0.007 -0.006 -0.005 -0.004 -0.003 -0.001  0.     0.001  0.002  0.004  0.005  0.005  0.006  0.007  0.007  0.007  0.008  0.007  0.007  0.007],BCC,9,0,0,0,0
[ 0.    -0.026 -0.043 -0.064 -0.091 -0.11  -0.124 -0.146 -0.166 -0.176 -0.188 -0.208 -0.216 -0.211 -0.014  0.715  0.071  0.834  0.421 -0.213 -0.229 -0.218 -0.215 -0.178  0.406  0.441 -0.141 -0.163 -0.141 -0.078  0.115 -0.048 -0.086 -0.076 -0.067 -0.052 -0.039 -0.031 -0.021 -0.01 -0.002  0.003  0.01   0.017  0.019  0.022  0.026  0.026  0.026  0.026  0.026  0.023  0.021  0.02   0.017  0.013  0.01   0.008  0.004  0.001 -0.001 -0.004 -0.007 -0.009 -0.01  -0.013 -0.014 -0.014 -0.014 -0.015 -0.014 -0.013 -0.012 -0.011 -0.009 -0.008 -0.007 -0.004 -0.002 -0.001  0.001  0.003  0.004  0.005  0.007  0.008  0.008  0.009  0.01   0.01  0.009  0.009  0.009  0.008  0.007  0.006  0.005  0.004  0.003  0.001  0.    -0.001 -0.002 -0.003 -0.004 -0.005 -0.005 -0.006 -0.007 -0.007 -0.007 -0.007 -0.006 -0.006 -0.006 -0.005 -0.004 -0.003 -0.003 -0.002 -0.001  0.     0.001  0.002  0.003  0.003  0.004  0.004  0.005  0.005  0.005  0.005  0.005  0.005],BCC,9,0,0,0,0
[ 0.    -0.016 -0.027 -0.04  -0.057 -0.07  -0.079 -0.093 -0.108 -0.116 -0.124 -0.138 -0.148 -0.151 -0.157 -0.171 -0.175 -0.157  0.267  0.622 -0.085  0.525  0.767 -0.121 -0.187 -0.173 -0.165 -0.17  -0.168 -0.129  0.396  0.478 -0.1   -0.127 -0.116 -0.109 -0.09   0.085  0.055 -0.068 -0.066 -0.057 -0.047 -0.04  -0.033 -0.026 -0.019 -0.013 -0.008 -0.002  0.002  0.006  0.009  0.013  0.015  0.016  0.018  0.019  0.019  0.019  0.018  0.018  0.016  0.015  0.014  0.012  0.01   0.008  0.006  0.004  0.002  0.    -0.002 -0.004 -0.005 -0.006 -0.008 -0.008 -0.009 -0.01 -0.01  -0.01  -0.01  -0.009 -0.009 -0.008 -0.007 -0.007 -0.006 -0.004 -0.003 -0.002 -0.001  0.     0.001  0.002  0.003  0.004  0.005  0.005  0.006  0.006  0.006  0.006  0.006  0.006  0.006  0.005  0.005  0.004  0.004  0.003  0.002  0.002  0.001 -0.    -0.001 -0.001 -0.002 -0.003 -0.003 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.004 -0.003 -0.003 -0.002],BCC,9,0,0,0,0
[ 0.    -0.025 -0.048 -0.072 -0.096 -0.117 -0.138 -0.158 -0.176 -0.191 -0.206 -0.219 -0.223  0.007  0.724  0.133  0.974  0.174 -0.231 -0.245 -0.238 -0.213  0.12   0.631 -0.09  -0.177 -0.16  -0.089  0.098 -0.075 -0.104 -0.092 -0.077 -0.061 -0.048 -0.036 -0.023 -0.012 -0.003  0.006  0.015  0.021  0.025  0.03   0.033  0.034  0.035  0.035  0.034  0.032  0.029  0.027  0.022  0.019  0.015  0.01   0.006  0.002 -0.002 -0.006 -0.009 -0.012 -0.015 -0.017 -0.018 -0.019 -0.02  -0.021 -0.02  -0.019 -0.018 -0.016 -0.014 -0.012 -0.01  -0.007 -0.005 -0.003  0.     0.003  0.005  0.007  0.009  0.011  0.012  0.013  0.014  0.014  0.014  0.014  0.013  0.012  0.011  0.01   0.008  0.007  0.005  0.003  0.001 -0. -0.002 -0.004 -0.005 -0.006 -0.008 -0.009 -0.009 -0.01  -0.01  -0.01 -0.01  -0.01  -0.009 -0.008 -0.007 -0.006 -0.005 -0.004 -0.002 -0.001  0.     0.002  0.003  0.004  0.005  0.006  0.006  0.007  0.008  0.008  0.008  0.008  0.007  0.007],BCC,9,0,0,0,0
[ 0.    -0.017 -0.038 -0.057 -0.072 -0.089 -0.109 -0.124 -0.135 -0.15 -0.167 -0.174 -0.18  -0.195 -0.205 -0.189  0.221  0.643 -0.048  0.831  0.441 -0.183 -0.212 -0.197 -0.182 -0.185 -0.124  0.563  0.307 -0.13 -0.14  -0.124 -0.102  0.062  0.067 -0.071 -0.071 -0.062 -0.049 -0.04 -0.034 -0.025 -0.016 -0.011 -0.006  0.001  0.006  0.008  0.011  0.015  0.016  0.016  0.018  0.019  0.017  0.016  0.017  0.014  0.012  0.011  0.01   0.007  0.005  0.004  0.002 -0.001 -0.002 -0.003 -0.005 -0.006 -0.006 -0.007 -0.008 -0.008 -0.007 -0.008 -0.008 -0.007 -0.006 -0.006 -0.005 -0.004 -0.004 -0.003 -0.001 -0.    -0.     0.001  0.002  0.002  0.003  0.004  0.004  0.004  0.004  0.005  0.004  0.004  0.004  0.004  0.003  0.003  0.003  0.002  0.001  0.001  0.001 -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 -0.002 -0.003 -0.003 -0.002 -0.003 -0.003 -0.002 -0.002 -0.002 -0.002 -0.001 -0.001 -0.001 -0.     0.    -0.     0.  0.001  0.001  0.001  0.001],BCC,9,0,0,0,0
[ 0.    -0.018 -0.032 -0.047 -0.065 -0.081 -0.092 -0.106 -0.122 -0.133 -0.14  -0.152 -0.165 -0.167 -0.161  0.151  0.993  0.062  0.282  0.166 -0.17  -0.185 -0.174 -0.165 -0.163 -0.045  0.392 -0.011 -0.133 -0.109  0.201  0.245 -0.009 -0.078 -0.077 -0.067 -0.041 -0.007 -0.037 -0.034 -0.027 -0.021 -0.015 -0.009 -0.004 -0.     0.004  0.007  0.009  0.011  0.012  0.013  0.013  0.013  0.013  0.012  0.011  0.01   0.009  0.007  0.006  0.004  0.003  0.001 -0.    -0.001 -0.003 -0.004 -0.004 -0.005 -0.006 -0.006 -0.006 -0.006 -0.006 -0.006 -0.005 -0.005 -0.004 -0.004 -0.003 -0.002 -0.001 -0.001 -0.     0.001  0.001  0.002  0.002  0.003  0.003  0.003  0.004  0.004  0.004  0.003  0.003  0.003  0.003  0.002  0.002  0.001  0.001  0.001  0.    -0.    -0.001 -0.001 -0.001 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.002 -0.001 -0.001 -0.001 -0.001 -0.     0.     0.     0.001  0.001  0.001  0.001  0.001  0.002  0.002],BCC,15,0,0,1,0
[ 0.    -0.022 -0.04  -0.06  -0.082 -0.099 -0.115 -0.134 -0.15  -0.159 -0.172 -0.189 -0.155  0.631  0.665  0.183  0.252 -0.179 -0.209 -0.205 -0.196 -0.089  0.359 -0.028 -0.155  0.001  0.325  0.01  -0.097 -0.104 -0.091 -0.036 -0.048 -0.056 -0.046 -0.033 -0.023 -0.016 -0.006  0.003  0.008  0.013  0.019  0.022  0.024  0.026  0.028  0.027  0.026  0.026  0.024  0.021  0.018  0.016  0.012  0.008  0.006  0.002 -0.002 -0.004 -0.006 -0.01  -0.012 -0.013 -0.014 -0.016 -0.016 -0.016 -0.016 -0.016 -0.014 -0.013 -0.012 -0.01  -0.008 -0.006 -0.004 -0.002  0.     0.002  0.004  0.006  0.007  0.008  0.01   0.01   0.011  0.011  0.012  0.011  0.01   0.01   0.009  0.008  0.007  0.006  0.004  0.002  0.001 -0. -0.002 -0.003 -0.004 -0.005 -0.006 -0.007 -0.007 -0.008 -0.008 -0.008 -0.008 -0.008 -0.007 -0.007 -0.006 -0.005 -0.004 -0.003 -0.002 -0.001  0.     0.001  0.002  0.003  0.004  0.004  0.005  0.006  0.006  0.006  0.007  0.006  0.006  0.006],BCC,15,0,0,1,0
[ 0.    -0.019 -0.039 -0.057 -0.074 -0.093 -0.109 -0.124 -0.138 -0.153 -0.163 -0.171 -0.184 -0.139  0.722  0.574  0.141  0.289 -0.164 -0.193 -0.193 -0.195 -0.169  0.173  0.254 -0.137 -0.139  0.126  0.286 -0.016 -0.093 -0.089 -0.076 -0.029 -0.032 -0.045 -0.038 -0.029 -0.019 -0.012 -0.006  0.001  0.007  0.01   0.014  0.017  0.019  0.02   0.021  0.021  0.02   0.019  0.017  0.015  0.013  0.011  0.009  0.006  0.003  0.001 -0.002 -0.004 -0.006 -0.007 -0.009 -0.01  -0.011 -0.011 -0.012 -0.012 -0.011 -0.011 -0.01  -0.009 -0.008 -0.006 -0.005 -0.003 -0.002 -0.001  0.001  0.002  0.004  0.005  0.006  0.006  0.007  0.008  0.008  0.008  0.008  0.008  0.007  0.006  0.006  0.005  0.004  0.003  0.002  0.001 -0.    -0.001 -0.002 -0.003 -0.004 -0.004 -0.005 -0.005 -0.006 -0.006 -0.006 -0.006 -0.005 -0.005 -0.005 -0.004 -0.003 -0.003 -0.002 -0.001 -0.001  0.     0.001  0.002  0.002  0.003  0.003  0.004  0.004  0.004  0.004  0.004  0.004  0.004],BCC,15,0,0,1,0
