,Materials,Prozessbedingung,homogenized_temperature,homogenized_time,solutionized_temperature,solutionized_time,extrution_temperature,extrution_speed,extrusion_ratio,ECAE_temperature,ECAE_pass,Fe,Cu,Ni,Nd,Zn,Ca,Al,Sn,Mn,Si,Gd,Y,Zr,grain_size,grain_size_error,second_phase,second_phase_error,vpd,grain_size_bin,grain_size_bin_25.7,second_phase_bin_1.14,concentration_string,total_string,second_phase_bin
24,Mg-0.5Mn-0.5Ca,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.52,0.0,0.0,0.0,0.0,2.8,,2.2,0.4,-96.23,0,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.39 Ca, 0.0 Al, 0.0 Sn, 0.52 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.39 Ca, 0.0 Al, 0.0 Sn, 0.52 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
25,Mg-0.5Mn-0.5Ca-2Al,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.42,2.38,0.0,0.48,0.0,0.0,0.0,0.0,1.95,,8.0,1.1,533.675,0,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.42 Ca, 2.38 Al, 0.0 Sn, 0.48 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.42 Ca, 2.38 Al, 0.0 Sn, 0.48 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
26,Mg-0.5Mn-0.5Ca-9Sn,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,0.0,0.49,0.0,9.14,0.54,0.0,0.0,0.0,0.0,2.91,,23.1,4.0,254.92,0,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.49 Ca, 0.0 Al, 9.14 Sn, 0.54 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 0.0 Zn, 0.49 Ca, 0.0 Al, 9.14 Sn, 0.54 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
27,Mg-0.5Mn-0.5Ca-4Zn,extruded,280.0,0.5,,,260.0,5.0,10.0,,,0.0,0.0,0.0,0.0,3.9,0.44,0.0,0.0,0.56,0.0,0.0,0.0,0.0,2.47,,8.7,1.1,396.05,0,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.9 Zn, 0.44 Ca, 0.0 Al, 0.0 Sn, 0.56 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 280.0, homogenized time 0.5, solutionized time nan, solutized temperature nan, extrusion temperature 260.0, extrusion speed 5.0, extrusion ratio 10.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.0 Nd, 3.9 Zn, 0.44 Ca, 0.0 Al, 0.0 Sn, 0.56 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
32,Mg-2Zn-0.5Nd,extruded,325.0,10.0,,,390.0,10.0,64.0,,,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,5.0,6.22,0.0,-400,1,0,1,"0.0 Fe, 0.0 Cu, 0.0 Ni, 0.5 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature 325.0, homogenized time 10.0, solutionized time nan, solutized temperature nan, extrusion temperature 390.0, extrusion speed 10.0, extrusion ratio 64.0, concentrations 0.0 Fe, 0.0 Cu, 0.0 Ni, 0.5 Nd, 2.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 0.0 Gd, 0.0 Y, 0.0 Zr",1
53,Mg-2Gd,extruded,,,525.0,8.0,350.0,12.5,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,3.6,0.0,0.29,0.5,?,0,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 350.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
54,Mg-2Gd,extruded,,,525.0,8.0,350.0,20.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,5.7,0.0,0.56,0.3,?,0,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 350.0, extrusion speed 20.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
55,Mg-2Gd,extruded,,,525.0,8.0,350.0,40.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,10.4,0.0,0.59,0.6,?,0,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 350.0, extrusion speed 40.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
56,Mg-2Gd,extruded,,,525.0,8.0,400.0,12.5,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,7.8,0.0,0.44,0.15,?,0,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
57,Mg-2Gd,extruded,,,525.0,8.0,400.0,20.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,11.0,0.0,0.39,0.19,?,0,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 20.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
58,Mg-2Gd,extruded,,,525.0,8.0,400.0,40.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,15.5,0.0,0.98,0.1,?,1,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 40.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",1
59,Mg-2Gd,extruded,,,525.0,8.0,450.0,12.5,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,14.0,0.0,0.96,0.73,?,1,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 450.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",1
60,Mg-2Gd,extruded,,,525.0,8.0,450.0,20.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,18.0,0.0,1.14,0.47,?,1,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 450.0, extrusion speed 20.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",1
61,Mg-2Gd,extruded,,,525.0,8.0,450.0,40.0,25.0,,,0.002,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.0,24.8,0.0,0.55,0.52,?,1,0,0,"0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 450.0, extrusion speed 40.0, extrusion ratio 25.0, concentrations 0.002 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 1.97 Gd, 0.0 Y, 0.0 Zr",0
62,Mg-5Gd,extruded,,,525.0,8.0,350.0,12.5,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,4.3,0.0,0.29,0.7,?,0,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 350.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",0
63,Mg-5Gd,extruded,,,525.0,8.0,350.0,40.0,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,13.3,0.0,0.69,0.17,?,1,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 350.0, extrusion speed 40.0, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",1
64,Mg-5Gd,extruded,,,525.0,8.0,400.0,12.5,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,7.6,0.0,0.78,0.26,?,0,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",1
65,Mg-5Gd,extruded,,,525.0,8.0,400.0,20.0,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,12.1,0.0,0.44,0.34,?,0,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 20.0, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",0
66,Mg-5Gd,extruded,,,525.0,8.0,400.0,40.0,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,21.4,0.0,0.7,0.3,?,1,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 400.0, extrusion speed 40.0, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",1
67,Mg-5Gd,extruded,,,525.0,8.0,450.0,12.5,25.0,,,0.0049,0.0007,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82,0.0,0.0,12.5,0.0,0.65,0.34,?,1,0,0,"0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr","A alloy witht the following paramters; extruded, homogenized temperature nan, homogenized time nan, solutionized time 8.0, solutized temperature 525.0, extrusion temperature 450.0, extrusion speed 12.5, extrusion ratio 25.0, concentrations 0.0049 Fe, 0.0007 Cu, 0.0013 Ni, 0.0 Nd, 0.0 Zn, 0.0 Ca, 0.0 Al, 0.0 Sn, 0.0 Mn, 0.0 Si, 4.82 Gd, 0.0 Y, 0.0 Zr",0
