,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
10,RandomForestClassifier,['y_bin'],100,"[1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 1 1 1 0
 0 1 0 1 1 0 0 0 1 0 0 1 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 40, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 3, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 110, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.76,0.76,0.7596153846153846,0.52,2
11,RandomForestClassifier,['y_bin'],200,"[1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[1 0 1 0 0 0 1 0 0 1 0 0 1 1 1 1 1 0 0 1 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 1 0
 0 1 0 1 1 0 0 0 1 0 0 1 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 185, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.78,0.78,0.779205138498595,0.5585874799357946,2
12,XGBClassifier,['y_bin'],25,"[0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[0 1 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 1 0
 0 1 1 1 0 0 0 0 1 1 0 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9173551450427959, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0006971400616796171, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.031168707942966032, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 205, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.34012166596758964, 'reg_lambda': 2.3397561536701336e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9097790243365886, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.74,0.74,0.7373737373737372,0.4913928012519563,2
13,XGBClassifier,['y_bin'],50,"[0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[0 1 0 0 0 1 0 0 1 0 0 1 1 0 1 1 1 0 0 1 0 0 1 1 0 0 0 0 1 1 1 1 1 1 1 1 0
 0 1 1 1 1 0 0 0 1 0 0 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9152368893017945, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 4.44531179793151e-07, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.012393141400806256, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 3, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 125, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 4.1611493924783253e-07, 'reg_lambda': 0.0003176184055882708, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.5055049810323409, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.74,0.74,0.7398959583833533,0.4816586921850079,2
14,XGBClassifier,['y_bin'],100,"[1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[1 0 1 0 1 0 1 0 0 1 0 0 1 1 0 1 1 0 0 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0
 0 1 1 1 1 0 0 0 1 1 0 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.500286200794211, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.764260328328561e-05, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.025582288494360613, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 67, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 2.3411229581991064e-07, 'reg_lambda': 0.15857851854340638, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.563161418602999, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7799119647859143,0.5614035087719298,2
15,XGBClassifier,['y_bin'],200,"[1 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 1 1 1 1 0 0 0 0 0 1 1 1 1 0 1 1 0 0
 0 1 1 1 0 0 0 0 1 1 0 1 0]","[1 0 1 0 0 0 1 0 1 1 0 0 1 1 1 1 0 0 0 1 1 0 1 1 0 0 0 0 1 1 1 0 0 1 1 1 0
 0 1 0 1 1 1 0 0 1 1 0 0 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5382190600532983, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.0024763206892912497, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.09652541235256504, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 157, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.0005608222382907967, 'reg_lambda': 3.1290186992263575e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9895095023688285, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.74,0.74,0.7398959583833533,0.4816586921850079,2
16,RandomForestClassifier,['y_bin'],25,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[1 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 1 0 0 0 1 1 0 1
 1 1 1 0 1 1 0 1 0 1 0 1 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 205, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.72,0.72,0.7159090909090908,0.44620253164556967,3
17,RandomForestClassifier,['y_bin'],50,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[1 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 1
 1 0 1 0 0 0 1 1 0 0 0 0 1]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 51, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.74,0.74,0.7398959583833533,0.48,3
18,RandomForestClassifier,['y_bin'],100,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[1 0 0 0 1 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 0 1
 1 0 1 0 0 0 0 1 0 0 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 164, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.72,0.72,0.7181964573268922,0.4372990353697749,3
19,RandomForestClassifier,['y_bin'],200,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 1 1 1 0 0 0 0 1 0 1
 1 0 1 0 0 0 0 1 0 1 0 0 1]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8,0.8000000000000002,0.7996794871794872,0.5993589743589745,3
20,XGBClassifier,['y_bin'],25,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[1 0 0 1 0 1 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 1 1 1 1 0 1 0 0 0 1 1 0 1
 1 1 1 0 0 0 0 1 0 1 0 1 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7938987018042842, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.6247836382454794, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.09924532696756813, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 4, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 206, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 9.131859762777913e-05, 'reg_lambda': 0.00101666435862146, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8992730887430334, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.66,0.66,0.6587715776796468,0.317817014446228,3
21,XGBClassifier,['y_bin'],50,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[0 0 0 0 1 1 1 0 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 1 0 1
 1 0 1 0 1 0 0 1 0 0 0 0 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7434061213485351, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.869544127745049e-07, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.1464274553384095, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 221, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.053473940469361866, 'reg_lambda': 3.331571927530835e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.577592993434558, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.78,0.78,0.7799119647859143,0.56,3
22,XGBClassifier,['y_bin'],100,"[0 0 1 0 1 1 0 0 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
 1 0 1 0 0 0 0 1 0 1 1 0 0]","[0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 1 1 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 1
 0 0 1 0 0 1 1 1 0 0 0 0 1]","{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9864401224333914, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.05918735008913587, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05840979816865966, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 167, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': None, 'reg_alpha': 0.003601635818567903, 'reg_lambda': 0.06890591321320445, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8623020376894933, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.66,0.66,0.6565656565656566,0.3156199677938808,3
