Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Crab shell;KOH;1;873;298;0.15;3.9;1;2;7;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K, and has a BET surface area of 798.0 m2/g and a pore volume of 0.34 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 873 K
Crab shell;KOH;1.5;873;298;0.15;3.8;1;2;6;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K, and has a BET surface area of 1004.0 m2/g and a pore volume of 0.46 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 873 K
Crab shell;KOH;2;873;298;0.15;3.7;1;2;6;0;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 0.15 bar, which has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K, and has a BET surface area of 1387.0 m2/g and a pore volume of 0.47 cm3/g;an activated carbon at 298 K and 0.15 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 873 K
Crab shell;KOH;1.5;923;348;1;1.5;0;1;2;0;an activated carbon at 348 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K, and has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 348 K and 1.0 bar, which has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 348 K and 1.0 bar, which has been synthetized from Crab shell as precursor, activated with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K;an activated carbon at 348 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K, and has a BET surface area of 1196.0 m2/g and a pore volume of 0.5 cm3/g;an activated carbon at 348 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1.5 at an activation temperature of 923 K
Peanut shell;KOH;2;953;273;1;7.25;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K, and has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K, and has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K
Peanut shell;KOH;2;953;298;1;4.41;1;3;7;1;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K, and has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K, and has a BET surface area of 1713.0 m2/g and a pore volume of 0.73 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 953 K
Peanut shell;KOH;2;1053;273;1;6.79;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K, and has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K, and has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K
Peanut shell;KOH;2;1053;298;1;3.92;1;2;7;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K, and has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Peanut shell as precursor, activated with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K, and has a BET surface area of 1871.0 m2/g and a pore volume of 0.8 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 2 at an activation temperature of 1053 K
Rice husk;KOH;1;913;273;0.1;2.11;0;1;3;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;273;0.1;1.91;0;1;3;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;273;0.1;1.91;0;1;3;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;0.5;1053;273;0.1;1.25;0;0;2;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 1053 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 0.5 at an activation temperature of 1053 K
Rice husk;KOH;1;913;273;0.2;2.85;1;2;5;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;273;0.2;2.9;1;2;5;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;273;0.2;2.81;1;2;5;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;3;1053;273;0.2;2.04;0;1;3;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K
Rice husk;KOH;1;913;273;1;4.88;1;3;8;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K, and has a BET surface area of 774.0 m2/g and a pore volume of 0.41 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 913 K
Rice husk;KOH;1;983;273;1;5.63;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K, and has a BET surface area of 1041.0 m2/g and a pore volume of 0.53 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 983 K
Rice husk;KOH;1;1053;273;1;6.02;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K, and has a BET surface area of 1199.0 m2/g and a pore volume of 0.6 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 1 at an activation temperature of 1053 K
Rice husk;KOH;3;1053;273;1;6.24;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Rice husk as precursor, activated with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K, and has a BET surface area of 2695.0 m2/g and a pore volume of 1.14 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 3 at an activation temperature of 1053 K
