,SMILES,Free energy of activation (kcal/mol),E_bin,smiles_lenght
143,CC(=O)Nc2nnc(c1ccc(N(=O)=O)cc1)nn2,13.61318024601567,0,34
144,c1cc([O-])ccc1c2nnc(C)nn2,19.94098100201956,1,25
145,Brc2nnc(F)nn2,12.73404013702376,0,13
146,c1cc(NC(=O)C)ccc1c2nnc(N(C)C)nn2,21.987915359988,1,32
147,O=N(=O)c2nnc(c1cscc1)nn2,9.002244113957484,0,24
148,c1cc(C(=O)N)ccc1c2nnc(c1ccccc1)nn2,14.203666215022968,0,34
149,c1ccncc1c2nnc(c1ncccc1)nn2,13.01014409696872,0,26
150,FC(F)(F)c2nnc(CF)nn2,10.6651429639681,0,20
151,Nc2nnc(c1cnccc1)nn2,21.62647017597314,1,19
152,c1(NC)ccccc1c2nnc(c1cscc1)nn2,15.701530198022216,1,29
153,c1cc(OC)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,14.779091967925606,1,39
154,c1ccccc1c2nnc(CC)nn2,15.550928037974414,1,20
155,c1(NC)ccccc1c2nnc(SC)nn2,17.436592582993317,1,24
156,CC(=O)Nc2nnc(Br)nn2,13.80645301809842,0,19
157,c1cc(N(=O)=O)ccc1c2nnc(c1ncncc1)nn2,11.606406464017182,0,35
158,FCc2nnc(F)nn2,12.410245492985188,0,13
159,c1occc1c2nnc(C)nn2,16.681071746974656,1,18
160,C#Cc2nnc(c1ncccn1)nn2,12.270310986053133,0,21
161,c1cc(C(=O)[O-])ccc1c2nnc(c1ncccn1)nn2,12.927940417962246,0,37
162,COC(=C)c2nnc(I)nn2,13.450027906070892,0,18
163,c1cc(N)ccc1c2nnc(N(C)C)nn2,22.981889616046672,1,26
164,c1(O)ccccc1c2nnc(c1cncnc1)nn2,13.605022629036268,0,29
165,c1ccncc1c2nnc(C)nn2,15.727885576027017,1,19
166,c1cc([O-])ccc1c2nnc(c1cocc1)nn2,19.64291422691604,1,31
167,CC(=O)c2nnc(c1c(O)cccc1)nn2,12.204422541005464,0,27
168,FC(F)c2nnc(c1ncncc1)nn2,10.049556635024176,0,23
169,c1sccc1c2nnc(NC)nn2,21.056064495057825,1,19
170,FC(F)c2nnc(I)nn2,12.724627502047523,0,16
171,c1cc(C(F)(F)F)ccc1c2nnc(c1cncnc1)nn2,13.329546178018385,0,36
172,c1cc(C(=O)[O-])ccc1c2nnc(c1ccc(C(=O)O)cc1)nn2,14.135895242908711,0,45
173,c1cncnc1c2nnc(c1cnccc1)nn2,12.168654527953093,0,26
174,c1cc(N(=O)=O)ccc1c2nnc(C(OC)=C)nn2,12.276586075965948,0,34
175,s1cccc1c2nnc(CF)nn2,14.194881088973808,0,19
176,c1ccccc1C#Cc2nnc(c1cnccc1)nn2,14.211196322932617,0,29
177,s1cccc1c2nnc(c1sccc1)nn2,16.097488377092613,1,24
178,CC(C)(C)c2nnc(C(C)(C)C)nn2,24.636630849006544,1,26
179,c1cc(NC(=O)C)ccc1c2nnc(c1occc1)nn2,15.40911100397577,1,34
180,c1cc(C(=O)N)ccc1c2nnc(c1sccc1)nn2,15.069628634976809,1,33
181,c1ccccc1/C=C/c2nnc(F)nn2,14.619704682042665,1,24
182,c1cccnc1c2nnc(c1ccccc1)nn2,13.247970008010324,0,26
183,CN(C)c2nnc(C)nn2,22.60412919803734,1,16
184,c1c(O)cccc1c2nnc(CC)nn2,15.7881264400176,1,23
185,c1cc(N(=O)=O)ccc1c2nnc(c1ccncc1)nn2,12.996338899003575,0,35
186,c1cc(C(=O)O)ccc1c2nnc(c1cocc1)nn2,14.869453264054163,1,33
187,c1(O)ccccc1c2nnc(c1ncccc1)nn2,13.330801196015214,0,29
188,n1cccnc1c2nnc(I)nn2,13.362176645935998,0,19
189,c1cc(C(=O)OC)ccc1c2nnc(CF)nn2,12.98567124595917,0,29
190,c1cc(OC)ccc1c2nnc(Cl)nn2,14.7332838111126,1,24
191,c1cc(C(=O)[O-])ccc1c2nnc(NC)nn2,21.08681243605153,1,31
192,CSc2nnc(C(F)(F)F)nn2,13.71797424896511,0,20
193,c1cc(N(=O)=O)ccc1c2nnc(C(=O)OC)nn2,10.293657635907255,0,34
194,COC(=C)c2nnc(C(F)F)nn2,10.437357197043829,0,22
195,c1cc(C(=O)[O-])ccc1c2nnc(SC)nn2,16.99859130095773,1,31
196,COC(=C)c2nnc(c1cc(O)ccc1)nn2,13.14694105905138,0,28
197,c1cc(C(=O)OC)ccc1c2nnc(c1cocc1)nn2,14.98930748296558,1,34
198,c1cc(C(=O)O)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,13.179571527040334,0,43
199,c1cc(C(=O)N)ccc1c2nnc(N(C)C)nn2,21.38676173800763,1,31
200,c1cccnc1c2nncnn2,12.827538978001716,0,16
201,c1cc(O)ccc1c2nnc(F)nn2,13.842848540077869,0,22
202,c1cc(N(=O)=O)ccc1c2nnc(CC)nn2,14.743951464014328,1,29
203,CC(=C)c2nnc(CF)nn2,13.637653097025222,0,18
204,c1cccnc1c2nnc(C)nn2,14.816114998974813,1,19
205,CC(C)(C)c2nnc(N(C)C)nn2,26.790241736991003,1,23
206,c1occc1c2nnc(Br)nn2,14.651080131820768,1,19
207,c1cncnc1c2nnc(CC)nn2,13.438105235029656,0,20
208,CSc2nnc(c1ccc(O)cc1)nn2,17.103385304049848,1,23
209,c1cncnc1c2nncnn2,12.01052226006698,0,16
210,c1cc(C(=O)O)ccc1c2nnc(CF)nn2,13.08544517699262,0,28
211,s1cccc1c2nnc(c1cncnc1)nn2,14.578916596931624,1,25
212,c1cc(C(=O)O)ccc1c2nnc(N(=O)=O)nn2,7.87963051308091,0,33
213,c1cc(C(=O)[O-])ccc1c2nnc(/C=C/c1ccccc1)nn2,16.39430013398529,1,42
214,NC(=O)c2nnc(C(F)(F)F)nn2,8.365322479067427,0,24
215,c1cc(OC)ccc1c2nnc(N)nn2,22.236408924002664,1,23
216,CC(=O)Nc2nnc(C#Cc1ccccc1)nn2,14.312852781032657,0,28
217,c1cc(C(=O)O)ccc1c2nnc(c1occc1)nn2,14.536873494037772,1,33
218,c1cnccc1c2nnc(Br)nn2,13.253617588853386,0,20
219,o1cccc1c2nnc(c1cncnc1)nn2,14.159113075921434,0,25
220,c1ccccc1C#Cc2nnc(CF)nn2,13.55356689109484,0,23
221,C=Cc2nnc(c1ncncc1)nn2,13.389159533010552,0,21
222,c1(NC)ccccc1c2nnc(c1c(NC)cccc1)nn2,16.20228237997071,1,34
223,Nc2nnc(c1ncncc1)nn2,20.072757891972213,1,19
224,COC(=C)c2nnc(CC)nn2,14.487300283020254,1,19
225,c1cc(OC)ccc1c2nnc(F)nn2,14.1578580579246,0,23
226,c1cc(C(=O)[O-])ccc1c2nnc(c1occc1)nn2,15.031978095000524,1,36
227,s1cccc1c2nnc(c1ncccc1)nn2,14.039886365937091,0,25
228,C=Cc2nnc(I)nn2,15.630621680987224,1,14
229,O=N(=O)c2nnc(c1sccc1)nn2,9.44714799504698,0,24
230,C=Cc2nnc(N(C)C)nn2,22.7490837769924,1,18
231,c1cc(C(=O)OC)ccc1c2nnc(c1c(O)cccc1)nn2,14.026081167971949,0,38
232,c1cnccc1c2nnc(c1ccncc1)nn2,12.818753852023898,0,26
233,c1cc(OC)ccc1c2nnc(c1ncccn1)nn2,14.051809036978332,0,30
234,c1(NC)ccccc1c2nnc(c1ncccn1)nn2,13.79202031099218,0,30
235,CN(C)c2nnc(c1cnccc1)nn2,21.41625466100451,1,23
236,c1cc(N(=O)=O)ccc1c2nnc(SC)nn2,15.877232718006647,1,29
237,c1sccc1c2nnc(F)nn2,13.389159533010552,0,18
238,FCc2nnc(c1c(O)cccc1)nn2,13.291268129043685,0,23
239,c1ccccc1C#Cc2nnc(I)nn2,15.011897806979883,1,22
240,COc2nnc(c1ncncn1)nn2,14.406351622010613,1,20
241,c1cc(OC)ccc1c2nnc(C(OC)=C)nn2,13.923169692017757,0,29
242,o1cccc1c2nnc(OC)nn2,16.696759472006388,1,19
243,FC(F)(F)c2nnc(c1ncccn1)nn2,9.709446756955456,0,26
244,c1occc1c2nnc(SC)nn2,17.080794980035545,1,19
245,CC(=O)Nc2nnc(c1cocc1)nn2,14.657355222018944,1,24
246,FC(F)c2nnc(C)nn2,13.819630707065148,0,16
247,c1ccccc1/C=C/c2nnc(c1ncncn1)nn2,13.719856775960356,0,31
248,COC(=C)c2nnc(C(=O)OC)nn2,9.753372386915895,0,24
249,o1cccc1c2nnc(c1ncncn1)nn2,12.845736739027112,0,25
250,c1cc(NC(=O)C)ccc1c2nnc(SC)nn2,17.20190421701513,1,29
251,c1cc(C(=O)O)ccc1c2nnc(Cl)nn2,13.112428063995836,0,28
252,CC(=O)c2nnc(c1ncccc1)nn2,10.596116973999694,0,24
253,c1cc(C(F)(F)F)ccc1c2nnc(c1ncncn1)nn2,11.709945449041127,0,36
254,c1(O)ccccc1c2nnc(F)nn2,12.838206630974785,0,22
255,FCc2nnc(c1ncccc1)nn2,12.402715385004202,0,20
256,CC(=O)c2nnc(c1occc1)nn2,12.528844694042451,0,23
257,Nc2nnc(c1ncncn1)nn2,19.52996260705853,1,19
258,c1(NC)ccccc1c2nnc(c1c(O)cccc1)nn2,15.252861263013566,1,33
259,CC(=C)c2nnc(C(F)F)nn2,12.456053650012214,0,21
260,COC(=O)c2nnc(C=C)nn2,12.087705867014789,0,20
261,COC(=C)c2nnc(c1cnccc1)nn2,12.6788193450205,0,25
262,c1cc([O-])ccc1c2nnc(C#C)nn2,18.818367401000305,1,27
263,c1(O)ccccc1c2nnc(c1ccccc1)nn2,14.614057100985582,1,29
264,FC(F)c2nnc(Br)nn2,11.410623656012108,0,17
265,c1cc([O-])ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,18.274944607016867,1,41
266,c1cc(C(=O)O)ccc1c2nnc(C(=O)N)nn2,11.147697385105218,0,32
267,c1cc([O-])ccc1c2nnc(C(C)=C)nn2,19.15157468001512,1,30
268,c1cc(OC)ccc1c2nnc(OC)nn2,17.271557715910614,1,24
269,CSc2nnc(CF)nn2,15.3902857340233,1,14
270,CC(=C)c2nnc(SC)nn2,16.9364679099719,1,18
271,CC(=C)c2nnc(C#Cc1ccccc1)nn2,15.212073177973869,1,27
272,c1cc(C(F)(F)F)ccc1c2nnc(SC)nn2,16.136393934994384,1,30
273,CC(=O)c2nnc(c1cc(O)ccc1)nn2,12.272821022046797,0,27
274,c1sccc1c2nnc(SC)nn2,16.82163376311915,1,19
275,c1cc(C(=O)N)ccc1c2nnc(C(C)=C)nn2,14.834312760071546,1,32
276,c1ccccc1c2nnc(Cl)nn2,13.73805453705709,0,20
277,NC(=O)c2nnc(CF)nn2,10.882261077990645,0,18
278,o1cccc1c2nnc(F)nn2,13.440615271023317,0,18
279,NC(=O)c2nnc(NC)nn2,19.26452630001529,1,18
280,c1cc(N)ccc1c2nnc(C)nn2,18.16136547801827,1,22
281,C=Cc2nnc(C)nn2,16.745077665027075,1,14
282,FCc2nnc(Cl)nn2,12.716469884996782,0,14
283,c1cc(C(=O)O)ccc1c2nnc(c1cscc1)nn2,14.66676785699518,1,33
284,c1cc(NC(=O)C)ccc1c2nnc(c1cncnc1)nn2,14.236296683011922,0,35
285,COc2nnc(c1ccccc1)nn2,16.443873345002807,1,20
286,c1cc(C(F)(F)F)ccc1c2nnc(c1c(O)cccc1)nn2,13.923169691946416,0,39
287,NC(=O)c2nnc(c1ccncc1)nn2,10.827667794985802,0,24
288,c1cc(N(=O)=O)ccc1c2nnc(c1ccc(N(=O)=O)cc1)nn2,12.78361334796994,0,44
289,Nc2nnc(Cl)nn2,20.09095565306895,1,13
290,FCc2nnc(c1ncncc1)nn2,11.591346247983864,0,20
291,NC(=O)c2nnc(C(C)=C)nn2,11.773323858023792,0,22
292,c1cc([O-])ccc1c2nnc(c1ncncc1)nn2,17.26026255393913,1,32
293,COC(=O)c2nnc(c1ncccn1)nn2,9.387534639983471,0,25
294,NC(=O)c2nnc(c1c(O)cccc1)nn2,11.882510423962142,0,27
295,c1occc1c2nnc(I)nn2,15.72161048604286,1,18
296,o1cccc1c2nnc(C(F)(F)F)nn2,12.02934753001945,0,25
297,c1cc(N)ccc1c2nnc(C(=O)OC)nn2,14.324775451931211,0,28
298,c1cc(C(F)(F)F)ccc1c2nnc(c1ncccc1)nn2,12.727765046896923,0,36
299,NC(=O)c2nnc(Br)nn2,10.931206780081087,0,18
300,CC(=O)c2nnc(NC)nn2,19.36681026704241,1,18
301,CN(C)c2nnc(I)nn2,21.78083739001144,1,16
302,CC(=C)c2nnc(OC)nn2,16.964705814971943,1,18
303,c1sccc1c2nnc(CC)nn2,15.82326694400022,1,19
304,COC(=C)c2nnc(c1ccccc1)nn2,13.150706113041872,0,25
305,c1cc(C(F)(F)F)ccc1c2nnc(c1ccc(N)cc1)nn2,16.235540356886744,1,39
306,c1cc(C(=O)OC)ccc1c2nnc(C(C)(C)C)nn2,19.74206064902241,1,35
307,c1cc([O-])ccc1c2nnc(F)nn2,16.490936520026665,1,25
308,s1cccc1c2nnc(Br)nn2,14.859413119865494,1,19
309,CC(=O)Nc2nnc(CF)nn2,13.20341686905147,0,19
310,c1occc1c2nnc(N)nn2,22.677547750958983,1,18
311,c1cc(C(=O)N)ccc1c2nnc(C#Cc1ccccc1)nn2,14.18986101705782,0,37
312,c1cc(C(=O)N)ccc1c2nnc(c1ccncc1)nn2,13.522191440960036,0,34
313,c1ccncc1c2nnc(Cl)nn2,13.372216790053328,0,20
314,c1sccc1c2nnc(c1cnccc1)nn2,14.9805223570591,1,25
315,FC(F)(F)c2nnc(C(F)(F)F)nn2,8.258018439981646,0,26
316,CC(=C)c2nnc(I)nn2,15.165637511948423,1,17
317,O=N(=O)c2nnc(N)nn2,15.693372580971474,1,18
318,CC(=O)c2nnc(CF)nn2,10.906733929000197,0,18
319,c1cc(N(=O)=O)ccc1c2nnc(c1cncnc1)nn2,13.02896936699253,0,35
320,c1cc(N)ccc1c2nnc(c1ccncc1)nn2,16.33468677899312,1,29
321,O=N(=O)c2nnc(I)nn2,8.724885135944353,0,18
322,c1cc(OC)ccc1c2nnc(c1ccccc1)nn2,15.585441032958617,1,30
323,c1cc(C(=O)OC)ccc1c2nnc(C(=O)C)nn2,11.520437731020213,0,33
324,c1cc(C(=O)[O-])ccc1c2nnc(CF)nn2,13.29942574602309,0,31
325,FC(F)c2nnc(N)nn2,19.03423049702602,1,16
326,FCc2nnc(I)nn2,13.948897561095478,0,13
327,c1cccnc1c2nnc(F)nn2,12.105903628040185,0,19
328,s1cccc1c2nnc(c1ncncc1)nn2,13.331428705084967,0,25
329,CC(=C)c2nnc(NC)nn2,21.47147545304344,1,18
330,c1cc(C(=O)[O-])ccc1c2nnc(c1cocc1)nn2,15.272941551034206,1,36
331,CC(=O)c2nnc(c1cnccc1)nn2,11.693002706012566,0,24
332,COC(=O)c2nnc(/C=C/c1ccccc1)nn2,12.863306990911411,0,30
333,CC(C)(C)c2nnc(C(C)C)nn2,21.24745474000265,1,23
334,c1cc(C(=O)[O-])ccc1c2nnc(c1cncnc1)nn2,13.851006156985934,0,37
335,COC(=C)c2nnc(Br)nn2,12.795536019011177,0,19
336,c1cc(C(=O)O)ccc1c2nnc(c1ccncc1)nn2,13.40672978503753,0,34
337,c1sccc1c2nnc(OC)nn2,16.45328598005038,1,19
338,CNc2nnc(Br)nn2,20.332546618172383,1,14
339,CC(=O)Nc2nnc(C(=O)C)nn2,12.398322822015292,0,23
340,c1cc(C(=O)N)ccc1c2nnc(C#C)nn2,13.580549777955374,0,29
341,c1cc(C(=O)O)ccc1c2nnc(c1sccc1)nn2,15.186345308967484,1,33
342,c1cc(NC(=O)C)ccc1c2nnc(N)nn2,22.62169945002865,1,28
343,c1cc([O-])ccc1c2nnc(C#Cc1ccccc1)nn2,19.24507352106441,1,35
344,o1cccc1c2nnc(SC)nn2,16.596985541044273,1,19
345,c1cc(OC)ccc1c2nncnn2,14.96295210503212,1,20
346,c1cc(C(=O)OC)ccc1c2nncnn2,13.868576409012912,0,25
347,c1cc(C(=O)[O-])ccc1c2nnc(c1ncncc1)nn2,12.48868411792983,0,37
348,c1cc([O-])ccc1c2nnc(NC)nn2,23.05091560601508,1,26
349,c1occc1c2nnc(c1ncncc1)nn2,13.315113470983482,0,25
